"","ACCSEQ1","ACCSEQ2","ALTVEH","ORIGAVTW","CASEID","CASENO","DIRDAMW","DOCCDC","DVC1","DVC2","DVC3","DVC4","DVC5","DVC6","DVD","DVL","DOF1","DOF2","UNDENDW","EXTENT1","EXTENT2","FUELCAP1","FUELCAP2","FUELPRE1","FUELPRE2","FIRE","FIREORIG","FUELDAM1","FUELDAM2","GAD1","GAD2","FUELLOC1","FUELLOC2","FUELTNK1","FUELTNK2","FUELTYP1","FUELTYP2","FUELEAK1","FUELEAK2","FUELGT2","OBJCONT1","OBJCONT2","PDOF1","PDOF2","PSU","RATWGT","SDVC1","SDVC2","SDVC3","SDVC4","SDVC5","SDVC6","SDVD","SDVL","SHL1","SHL2","STRATIF","SVL1","SVL2","TDD1","TDD2","TOWRES","VEHNO","WHEELBAS","VERSION"
"5088",1,NA,0,155,"132K",132,250,0,0,32,45,25,18,5,72,340,11,NA,998,3,NA,NA,NA,NA,0,0,0,1,NA,"L","",NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,320,NA,74,12.933,NA,NA,NA,NA,NA,NA,NA,NA,"Y","","K","A","","W","",1,2,289,23
"5089",1,NA,0,154,"133K",133,78,0,6,23,27,21,32,37,181,86,11,NA,998,3,NA,NA,NA,NA,0,0,0,1,NA,"L","",NA,NA,NA,NA,1,NA,1,NA,NA,2,NA,320,NA,74,12.933,NA,NA,NA,NA,NA,NA,NA,NA,"F","","K","E","","W","",1,1,272,23
"5090",1,NA,0,142,"133K",133,66,0,0,0,10,26,20,16,33,153,1,NA,153,2,NA,NA,NA,NA,0,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,20,NA,74,12.933,NA,NA,NA,NA,NA,NA,NA,NA,"Z","","K","E","","W","",1,2,243,23
"5091",4,3,0,150,"135C",135,26,1,52,54,42,30,19,8,-34,150,12,12,150,3,9,NA,NA,NA,NA,0,0,1,1,"F","F",NA,NA,NA,NA,1,7,1,1,NA,42,42,0,0,74,19.179,NA,NA,NA,NA,NA,NA,NA,NA,"Y","L","C","E","A","N","E",1,1,264,23
"5092",1,NA,0,152,"136K",136,55,0,7,19,32,48,68,79,14,146,12,NA,146,4,NA,NA,NA,NA,0,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,51,NA,0,NA,74,11.233,NA,NA,NA,NA,NA,NA,NA,NA,"R","","K","E","","W","",1,1,285,23
"5093",1,NA,0,141,"137K",137,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,998,2,NA,NA,NA,NA,0,0,0,1,NA,"L","",NA,NA,NA,NA,1,NA,1,NA,NA,31,NA,998,NA,74,11.233,NA,NA,NA,NA,NA,NA,NA,NA,"D","","K","A","","O","",0,1,318,23
"5094",1,2,0,155,"138K",138,172,0,0,24,35,34,23,2,5,197,11,3,998,3,2,NA,NA,NA,0,0,0,1,NA,"L","R",NA,NA,NA,NA,1,NA,1,NA,NA,2,63,330,90,74,11.233,NA,NA,NA,NA,NA,NA,NA,NA,"P","D","K","A","W","W","W",1,1,280,23
"5095",1,NA,0,153,"138K",138,140,0,13,12,16,6,6,4,0,146,82,NA,146,1,NA,NA,NA,NA,0,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,60,NA,74,11.233,NA,NA,NA,NA,NA,NA,NA,NA,"D","","K","E","","W","",1,2,274,23
"5096",1,NA,0,158,"139B",139,64,0,61,73,79,73,31,6,-50,164,12,NA,164,4,NA,NA,NA,NA,0,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,51,NA,0,NA,74,8.754,NA,NA,NA,NA,NA,NA,NA,NA,"Y","","B","E","","W","",1,1,285,23
"5097",2,NA,0,166,"140E",140,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,178,NA,NA,NA,NA,NA,0,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,2,NA,350,NA,74,61.248,NA,NA,NA,NA,NA,NA,NA,NA,"9","","E","9","","9","",1,1,295,23
