"","ACCSEQ1","ACCSEQ2","ALTVEH","ORIGAVTW","CASEID","CASENO","DIRDAMW","DOCCDC","DVC1","DVC2","DVC3","DVC4","DVC5","DVC6","DVD","DVL","DOF1","DOF2","UNDENDW","EXTENT1","EXTENT2","FUELCAP1","FUELCAP2","FUELPRE1","FUELPRE2","FIRE","FIREORIG","FUELDAM1","FUELDAM2","GAD1","GAD2","FUELLOC1","FUELLOC2","FUELTNK1","FUELTNK2","FUELTYP1","FUELTYP2","FUELEAK1","FUELEAK2","FUELGT2","OBJCONT1","OBJCONT2","PDOF1","PDOF2","PSU","RATWGT","SDVC1","SDVC2","SDVC3","SDVC4","SDVC5","SDVC6","SDVD","SDVL","SHL1","SHL2","STRATIF","SVL1","SVL2","TDD1","TDD2","TOWRES","VEHNO","WHEELBAS","VERSION"
"1",2,1,0,154,"  1C",1,120,1,NA,NA,NA,NA,NA,NA,NA,NA,0,12,998,3,1,NA,NA,NA,0,0,0,1,NA,"T","F",NA,NA,NA,NA,1,NA,1,NA,NA,31,44,998,350,2,41.048,8,8,3,0,0,0,-55,158,"Y","L","C","D","E","O","W",1,1,265,23
"2",1,NA,0,152,"  2H",2,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154,NA,NA,NA,NA,NA,0,0,0,1,NA,"B","",NA,NA,NA,NA,1,NA,1,NA,NA,2,NA,NA,NA,2,891.159,NA,NA,NA,NA,NA,NA,NA,NA,"9","","H","9","","9","",0,1,270,23
"3",1,NA,0,152,"  2H",2,135,0,1,0,2,3,0,0,9,151,12,NA,151,1,NA,NA,NA,NA,0,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,0,NA,2,891.159,NA,NA,NA,NA,NA,NA,NA,NA,"D","","H","E","","W","",1,2,275,23
"4",1,NA,0,154,"  3F",3,131,0,0,1,11,8,8,5,16,160,12,NA,160,1,NA,NA,NA,NA,0,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,2,NA,0,NA,2,536.27,NA,NA,NA,NA,NA,NA,NA,NA,"D","","F","E","","W","",1,1,302,23
"5",2,1,0,150,"  4H",4,9,1,1,1,1,0,0,0,-67,145,12,12,145,1,3,NA,NA,NA,0,0,0,1,NA,"F","F",NA,NA,NA,NA,1,NA,1,NA,NA,50,63,0,0,2,1409.811,NA,NA,NA,NA,NA,NA,NA,NA,"L","L","H","L","W","S","N",1,1,251,23
"6",4,1,0,146,"  5K",5,50,1,23,45,45,22,3,0,-30,144,12,12,144,3,2,NA,NA,NA,0,0,0,1,NA,"F","R",NA,NA,NA,NA,1,NA,1,NA,NA,42,42,10,10,2,43.506,NA,NA,NA,NA,NA,NA,NA,NA,"Y","Z","K","E","A","W","S",1,1,252,23
"7",2,1,0,152,"  7G",7,42,0,6,0,0,0,0,0,-58,144,11,9,144,1,2,NA,NA,NA,0,0,0,1,NA,"F","L",NA,NA,NA,NA,1,NA,1,NA,NA,60,50,330,280,2,206.59,NA,NA,NA,NA,NA,NA,NA,NA,"L","P","G","L","A","W","N",0,1,269,23
"8",1,NA,0,154,"  8H",8,232,0,0,0,6,5,2,0,-104,181,12,NA,998,1,NA,NA,NA,NA,0,0,0,1,NA,"L","",NA,NA,NA,NA,1,NA,1,NA,NA,2,NA,350,NA,2,366.115,NA,NA,NA,NA,NA,NA,NA,NA,"Z","","H","E","","S","",0,1,272,23
"9",1,NA,0,167," 10K",10,165,0,15,29,49,63,68,79,3,178,12,NA,178,3,NA,NA,NA,NA,0,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,2,NA,0,NA,2,43.506,NA,NA,NA,NA,NA,NA,NA,NA,"D","","K","E","","W","",1,1,364,23
"10",1,NA,0,NA," 11D",11,50,0,27,35,51,48,6,0,3,178,12,NA,178,3,NA,NA,NA,NA,0,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,42,NA,10,NA,2,134.612,NA,NA,NA,NA,NA,NA,NA,NA,"C","","D","E","","W","",1,1,338,23
"11",1,NA,0,157," 12F",12,39,0,3,11,24,35,28,17,20,150,12,NA,150,2,NA,NA,NA,NA,0,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,42,NA,0,NA,2,1339.007,NA,NA,NA,NA,NA,NA,NA,NA,"Z","","F","E","","N","",1,1,281,23
"12",1,2,0,155," 13C",13,125,0,0,8,14,12,17,17,150,125,2,1,998,2,1,NA,NA,NA,0,0,0,1,NA,"R","R",NA,NA,NA,NA,1,NA,1,NA,NA,2,2,60,40,2,81.482,10,5,3,1,0,0,-172,100,"F","B","C","E","E","W","W",1,1,271,23
"13",1,2,0,150," 13C",13,44,0,1,20,16,9,7,0,-44,132,71,7,132,2,1,NA,NA,NA,0,0,0,1,NA,"F","L",NA,NA,NA,NA,1,NA,1,NA,NA,1,1,330,200,2,81.482,0,0,2,0,0,0,-128,116,"Y","Z","C","E","E","W","W",1,2,251,23
"14",1,NA,0,147," 14D",14,120,0,0,10,17,22,20,8,-20,154,12,NA,154,1,NA,NA,NA,NA,0,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,2,NA,0,NA,2,48.601,NA,NA,NA,NA,NA,NA,NA,NA,"D","","D","E","","W","",1,1,265,23
"15",1,NA,NA,NA," 14D",14,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,NA,"B","",NA,NA,NA,NA,2,NA,1,NA,NA,1,NA,180,NA,2,48.601,NA,NA,NA,NA,NA,NA,NA,NA,"9","","D","9","","9","",0,2,NA,23
"16",2,1,0,155," 15F",15,30,0,NA,NA,NA,NA,NA,NA,NA,NA,12,12,145,1,NA,NA,NA,NA,0,0,0,1,NA,"F","F",NA,NA,NA,NA,1,NA,1,NA,NA,42,41,0,0,2,483.444,NA,NA,NA,NA,NA,NA,NA,NA,"C","9","F","E","9","N","9",1,1,271,23
"17",1,NA,0,148," 17F",17,43,0,11,2,2,2,2,2,-47,148,12,NA,148,1,NA,NA,NA,NA,0,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,350,NA,2,206.727,NA,NA,NA,NA,NA,NA,NA,NA,"L","","F","E","","W","",1,2,271,23
"18",1,NA,0,146," 18H",18,148,0,1,1,2,2,1,1,0,148,12,NA,148,1,NA,NA,NA,NA,0,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,44,NA,0,NA,2,543.469,NA,NA,NA,NA,NA,NA,NA,NA,"D","","H","L","","W","",1,1,265,23
"19",1,2,0,164," 19H",19,29,0,3,3,2,1,0,21,86,182,12,6,182,9,1,NA,NA,NA,0,0,0,1,NA,"F","L",NA,NA,NA,NA,1,NA,1,NA,NA,48,48,0,190,2,543.469,NA,NA,NA,NA,NA,NA,NA,NA,"R","F","H","A","M","E","S",1,1,303,23
"20",1,NA,0,157," 20J",20,123,0,136,86,77,72,46,27,-20,150,12,NA,150,6,NA,NA,NA,NA,0,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,2,NA,0,NA,2,41.048,NA,NA,NA,NA,NA,NA,NA,NA,"D","","J","E","","W","",1,1,281,23
"21",1,2,0,173," 20J",20,98,0,95,58,46,23,4,0,-38,172,12,NA,172,4,NA,NA,NA,NA,0,0,0,1,NA,"F","B",NA,NA,NA,NA,2,NA,1,NA,NA,1,57,350,NA,2,41.048,NA,NA,NA,NA,NA,NA,NA,NA,"Y","9","J","E","9","W","9",1,2,400,23
"22",2,1,0,145," 21D",21,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,998,3,NA,NA,NA,NA,0,0,0,1,NA,"L","9",NA,NA,NA,NA,1,NA,1,NA,NA,42,41,260,NA,2,46.421,NA,NA,NA,NA,NA,NA,NA,NA,"P","9","D","A","9","W","9",1,1,252,23
"23",1,NA,0,158," 22E",22,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,160,NA,NA,NA,NA,NA,0,0,0,NA,NA,"F","",NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,2,205.56,NA,NA,NA,NA,NA,NA,NA,NA,"9","","E","9","","9","",NA,1,279,23
"24",1,NA,0,148," 23F",23,140,0,7,5,18,22,2,0,-8,156,12,NA,156,1,NA,NA,NA,NA,0,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,2,NA,0,NA,2,201.364,NA,NA,NA,NA,NA,NA,NA,NA,"D","","F","E","","W","",1,1,272,23
"25",1,2,0,154," 23F",23,130,0,14,34,36,27,19,25,0,150,6,12,150,4,1,NA,NA,NA,0,0,0,1,NA,"B","F",NA,NA,NA,NA,1,NA,1,NA,NA,1,3,180,0,2,201.364,1,2,2,2,3,3,-16,148,"D","D","F","E","E","W","W",1,2,272,23
"26",2,NA,0,150," 23F",23,110,0,0,0,0,1,1,3,20,148,6,NA,148,1,NA,NA,NA,NA,0,0,0,1,NA,"B","",NA,NA,NA,NA,1,NA,1,NA,NA,2,NA,180,NA,2,201.364,NA,NA,NA,NA,NA,NA,NA,NA,"D","","F","L","","W","",0,3,266,23
"27",2,1,0,140," 24F",24,104,0,NA,NA,NA,NA,NA,NA,NA,NA,0,12,998,2,1,NA,NA,NA,0,0,0,1,NA,"R","F",NA,NA,NA,NA,1,NA,1,NA,NA,31,88,998,0,2,201.364,2,1,0,0,0,0,-35,149,"D","L","F","A","L","O","N",0,1,295,23
"28",1,3,0,158," 25G",25,19,1,NA,NA,NA,NA,NA,NA,NA,NA,12,12,148,3,NA,NA,NA,NA,0,0,0,1,NA,"F","F",NA,NA,NA,NA,1,NA,1,NA,NA,42,41,0,0,2,298.71,NA,NA,NA,NA,NA,NA,NA,NA,"L","9","G","E","9","E","9",1,1,279,23
"29",1,2,0,147," 26H",26,77,0,0,3,6,15,12,4,138,96,3,3,998,2,1,NA,NA,NA,0,0,0,1,NA,"R","R",NA,NA,NA,NA,1,NA,1,NA,NA,1,1,80,100,2,529.368,7,9,9,7,5,3,-155,101,"F","Z","H","E","E","W","W",0,2,262,23
"30",4,3,0,145," 27E",27,112,1,NA,NA,NA,NA,NA,NA,NA,NA,0,12,998,3,2,NA,NA,NA,0,0,0,1,NA,"T","F",NA,NA,NA,NA,1,NA,1,NA,NA,31,42,998,10,2,189.854,9,25,20,13,5,0,-30,146,"Y","L","E","D","E","O","N",1,1,245,23
"31",1,2,0,149," 28F",28,44,1,4,4,4,6,13,21,47,154,6,12,154,2,3,NA,NA,NA,0,0,0,1,NA,"B","F",NA,NA,NA,NA,1,NA,1,NA,NA,3,1,190,10,2,426.47,1,1,1,1,1,4,52,154,"R","R","F","E","E","W","E",1,2,252,23
"32",1,3,0,149," 28F",28,35,0,13,1,0,0,0,0,-60,159,11,NA,159,4,NA,NA,NA,NA,0,0,0,1,NA,"F","F",NA,NA,NA,NA,1,NA,1,NA,NA,2,2,340,NA,2,426.47,NA,NA,NA,NA,NA,NA,NA,NA,"L","L","F","E","9","E","9",1,3,237,23
"33",2,1,0,143," 29H",29,78,1,0,0,4,4,5,0,157,112,12,12,998,1,NA,NA,NA,NA,0,0,0,1,NA,"R","R",NA,NA,NA,NA,1,NA,1,NA,NA,42,51,0,0,2,1121.155,NA,NA,NA,NA,NA,NA,NA,NA,"F","F","H","E","9","S","9",1,1,243,23
"34",1,NA,0,148," 30H",30,250,0,0,0,0,7,14,0,-15,405,9,NA,998,2,NA,NA,NA,NA,0,0,0,1,NA,"L","",NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,280,NA,2,1121.155,NA,NA,NA,NA,NA,NA,NA,NA,"D","","H","E","","W","",0,2,257,23
"35",1,NA,0,157," 31F",31,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,9,NA,NA,NA,NA,0,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,10,NA,2,64.809,NA,NA,NA,NA,NA,NA,NA,NA,"R","","F","A","","S","",NA,2,288,23
"36",1,NA,0,155," 32H",32,124,0,0,2,10,12,6,0,-106,166,8,NA,998,2,NA,NA,NA,NA,0,0,0,1,NA,"L","",NA,NA,NA,NA,1,NA,1,NA,NA,2,NA,240,NA,2,170.377,NA,NA,NA,NA,NA,NA,NA,NA,"Z","","H","E","","W","",0,1,269,23
"37",1,NA,0,146," 32H",32,10,0,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,190,1,NA,NA,NA,NA,0,0,0,1,NA,"F","",NA,NA,NA,NA,2,NA,1,NA,NA,1,NA,350,NA,2,170.377,NA,NA,NA,NA,NA,NA,NA,NA,"R","","H","L","","E","",0,2,334,23
"38",1,2,0,147," 33H",33,50,0,1,5,18,26,8,3,-3,145,12,0,145,2,6,NA,NA,NA,0,0,0,1,NA,"F","F",NA,NA,NA,NA,1,NA,1,NA,NA,42,NA,0,998,2,170.377,NA,NA,NA,NA,NA,NA,NA,NA,"Y","L","H","E","G","W","N",1,1,260,23
"39",1,3,0,146," 34D",34,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,12,12,142,3,1,NA,NA,NA,0,0,0,1,NA,"F","R",NA,NA,NA,NA,1,NA,1,NA,NA,68,43,0,10,2,47.573,NA,NA,NA,NA,NA,NA,NA,NA,"L","P","D","W","E","N","S",1,1,255,23
"40",1,NA,0,146," 35E",35,30,0,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,135,3,NA,NA,NA,NA,0,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,60,NA,0,NA,2,98.376,NA,NA,NA,NA,NA,NA,NA,NA,"L","","E","L","","E","",1,1,247,23
"41",1,NA,0,147," 36H",36,7,0,5,1,2,1,0,0,-71,145,12,NA,145,6,NA,NA,NA,NA,0,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,2,NA,0,NA,2,580.945,NA,NA,NA,NA,NA,NA,NA,NA,"L","","H","A","","S","",1,1,257,23
"42",1,NA,0,146," 36H",36,250,0,0,0,2,3,3,0,58,232,12,NA,998,1,NA,NA,NA,NA,0,0,0,1,NA,"L","",NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,350,NA,2,580.945,NA,NA,NA,NA,NA,NA,NA,NA,"Y","","H","E","","S","",1,2,262,23
"43",1,NA,0,146," 37F",37,152,0,0,3,12,22,25,27,0,152,12,NA,152,2,NA,NA,NA,NA,0,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,48,NA,10,NA,2,51.931,NA,NA,NA,NA,NA,NA,NA,NA,"D","","F","E","","W","",1,1,265,23
"44",1,NA,0,158," 39H",39,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,998,NA,NA,NA,NA,NA,0,0,0,NA,NA,"9","",NA,NA,NA,NA,1,NA,NA,NA,NA,88,NA,NA,NA,2,120.743,NA,NA,NA,NA,NA,NA,NA,NA,"9","","H","9","","9","",NA,1,328,23
"45",2,1,0,146," 40H",40,26,1,2,2,0,0,0,0,-56,140,12,12,140,1,6,NA,NA,NA,0,0,0,1,NA,"F","F",NA,NA,NA,NA,1,NA,1,NA,NA,49,50,0,0,2,120.743,NA,NA,NA,NA,NA,NA,NA,NA,"L","L","H","E","E","E","E",1,1,253,23
"46",3,2,0,154," 41K",41,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,10,11,998,NA,1,NA,NA,NA,0,0,0,1,NA,"L","F",NA,NA,NA,NA,1,NA,1,NA,NA,51,44,300,330,2,23.965,0,1,9,8,0,0,0,158,"P","D","K","A","L","N","W",1,1,262,23
"47",1,2,0,153," 42E",42,14,0,0,0,0,0,0,3,67,148,12,0,148,3,2,NA,NA,NA,0,0,0,1,NA,"F","T",NA,NA,NA,NA,1,NA,1,NA,NA,44,31,0,998,2,98.355,NA,NA,NA,NA,NA,NA,NA,NA,"R","Y","E","E","D","E","O",1,1,262,23
"48",1,2,0,149," 43F",43,20,0,14,6,4,3,3,3,-60,142,12,12,142,4,2,NA,NA,NA,0,0,0,1,NA,"F","R",NA,NA,NA,NA,1,NA,1,NA,NA,2,48,0,0,2,68.083,NA,NA,NA,NA,NA,NA,NA,NA,"L","Y","F","E","A","E","S",1,1,273,23
"49",1,2,0,150," 44H",44,144,0,0,0,0,3,11,19,0,147,12,6,147,1,1,NA,NA,NA,0,0,0,1,NA,"F","B",NA,NA,NA,NA,1,NA,1,NA,NA,48,48,350,190,2,178.984,1,1,0,0,0,0,-47,144,"D","Y","H","E","L","W","W",1,1,262,23
"50",1,NA,0,148," 45J",45,20,0,6,0,0,0,0,0,-64,148,12,NA,148,9,NA,NA,NA,NA,0,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,2,NA,0,NA,2,41.048,NA,NA,NA,NA,NA,NA,NA,NA,"L","","J","A","","E","",1,1,252,23
"51",7,6,0,148," 46F",46,15,1,18,21,24,17,7,0,-65,146,12,12,146,3,1,NA,NA,NA,0,0,0,1,NA,"F","F",NA,NA,NA,NA,1,NA,1,NA,NA,42,42,0,0,2,379.938,NA,NA,NA,NA,NA,NA,NA,NA,"L","Y","F","E","E","E","N",1,1,262,23
"52",1,2,0,146," 47H",47,39,1,3,3,3,3,1,1,-54,146,12,0,146,1,NA,NA,NA,NA,0,0,0,1,NA,"F","U",NA,NA,NA,NA,1,NA,1,NA,NA,54,54,0,998,2,998.825,NA,NA,NA,NA,NA,NA,NA,NA,"L","9","H","L","9","E","9",1,1,247,23
"53",1,2,0,169," 48J",48,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,168,9,NA,NA,NA,NA,0,0,0,1,NA,"F","F",NA,NA,NA,NA,1,NA,1,NA,NA,2,3,350,NA,2,86.982,NA,NA,NA,NA,NA,NA,NA,NA,"9","9","J","A","9","9","9",1,1,300,23
"54",2,NA,0,167," 48J",48,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,998,2,NA,NA,NA,NA,0,0,0,1,NA,"L","",NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,340,NA,2,86.982,NA,NA,NA,NA,NA,NA,NA,NA,"D","","J","E","","S","",NA,3,364,23
"55",4,1,0,152," 49E",49,250,1,NA,NA,NA,NA,NA,NA,NA,NA,0,11,998,2,1,NA,NA,NA,0,0,0,1,NA,"R","L",NA,NA,NA,NA,1,NA,1,NA,NA,31,2,998,340,2,303.724,3,6,4,0,0,1,2,192,"Y","Y","E","A","E","O","W",1,1,262,23
"56",1,NA,1,173," 49E",49,169,0,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,170,1,NA,NA,NA,NA,0,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,60,NA,2,303.724,NA,NA,NA,NA,NA,NA,NA,NA,"D","","E","E","","W","",0,2,351,23
"57",4,2,0,147," 50H",50,28,1,0,37,39,14,3,0,-16,146,12,12,146,2,NA,NA,NA,NA,0,0,0,1,NA,"F","R",NA,NA,NA,NA,1,NA,1,NA,NA,42,42,0,0,2,1793.598,NA,NA,NA,NA,NA,NA,NA,NA,"C","9","H","E","9","N","9",1,1,320,23
"58",1,2,1,173," 51B",51,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,12,11,182,NA,NA,NA,NA,NA,0,0,0,1,NA,"F","F",NA,NA,NA,NA,1,NA,1,NA,NA,2,44,10,330,2,49.512,NA,NA,NA,NA,NA,NA,NA,NA,"D","9","B","E","9","W","9",1,1,351,23
"59",1,NA,0,148," 51B",51,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,156,6,NA,NA,NA,NA,0,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,350,NA,2,49.512,NA,NA,NA,NA,NA,NA,NA,NA,"D","","B","A","","W","",1,2,262,23
"60",1,NA,0,153," 53F",53,79,0,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,146,1,NA,NA,NA,NA,0,0,0,1,NA,"B","",NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,180,NA,2,252.306,NA,NA,NA,NA,NA,NA,NA,NA,"Y","","F","L","","U","",0,2,270,23
"61",1,NA,0,146," 54H",54,38,0,0,1,0,0,0,0,57,154,12,NA,154,3,NA,NA,NA,NA,0,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,45,NA,0,NA,2,663.293,NA,NA,NA,NA,NA,NA,NA,NA,"R","","H","E","","E","",1,1,265,23
"62",3,2,0,174," 55K",55,144,1,9,21,19,14,0,0,-235,193,9,12,998,2,9,NA,NA,NA,0,0,0,1,NA,"L","F",NA,NA,NA,NA,1,NA,1,NA,NA,42,51,280,0,2,43.506,0,0,0,1,2,21,79,188,"B","R","K","E","E","W","S",1,1,360,23
"63",1,NA,0,148," 56K",56,54,0,34,42,31,19,11,11,-45,144,12,NA,144,2,NA,NA,NA,NA,0,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,0,NA,2,50.783,NA,NA,NA,NA,NA,NA,NA,NA,"Y","","K","E","","W","",1,2,262,23
"64",1,NA,0,148," 57D",57,110,0,12,10,1,0,0,0,-18,148,11,NA,148,2,NA,NA,NA,NA,0,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,2,NA,330,NA,2,64.231,NA,NA,NA,NA,NA,NA,NA,NA,"D","","D","E","","W","",1,1,257,23
"65",2,1,0,149," 58F",58,158,0,3,2,3,2,2,2,0,158,12,12,158,1,4,NA,NA,NA,0,0,0,1,NA,"F","F",NA,NA,NA,NA,1,NA,1,NA,NA,44,42,0,0,2,638.919,NA,NA,NA,NA,NA,NA,NA,NA,"D","L","F","E","E","W","E",1,1,252,23
"66",1,2,0,154," 59D",59,162,0,0,9,8,9,9,1,104,225,2,12,998,1,1,NA,NA,NA,0,0,0,1,NA,"R","F",NA,NA,NA,NA,1,NA,1,NA,NA,2,3,60,350,2,23.965,5,2,1,1,3,4,-50,142,"Y","L","D","E","E","W","W",1,1,285,23
"67",1,NA,0,151," 59D",59,125,0,8,11,19,22,21,26,-9,142,12,NA,142,2,NA,NA,NA,NA,0,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,350,NA,2,23.965,NA,NA,NA,NA,NA,NA,NA,NA,"D","","D","E","","W","",1,2,270,23
"68",4,1,0,170," 60F",60,140,1,NA,NA,NA,NA,NA,NA,NA,NA,12,12,184,NA,1,NA,NA,NA,0,0,0,1,NA,"F","F",NA,NA,NA,NA,1,NA,1,NA,NA,44,53,0,0,2,225.417,8,10,9,5,2,1,-32,184,"Z","Y","F","L","E","W","N",1,1,394,23
"69",2,1,0,153," 61H",61,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,12,12,152,3,1,NA,NA,NA,0,0,0,1,NA,"F","F",NA,NA,NA,NA,1,NA,1,NA,NA,44,44,0,0,2,592.602,NA,NA,NA,NA,NA,NA,NA,NA,"R","R","H","W","L","N","W",1,1,272,23
"70",1,NA,0,157," 62F",62,120,0,3,2,0,0,1,2,-16,151,6,NA,151,1,NA,NA,NA,NA,0,0,0,1,NA,"B","",NA,NA,NA,NA,1,NA,1,NA,NA,2,NA,180,NA,2,93.955,NA,NA,NA,NA,NA,NA,NA,NA,"D","","F","E","","W","",0,1,276,23
"71",1,NA,0,144," 62F",62,75,0,1,2,1,1,2,3,34,142,12,NA,142,1,NA,NA,NA,NA,0,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,0,NA,2,93.955,NA,NA,NA,NA,NA,NA,NA,NA,"Z","","F","E","","W","",1,2,260,23
"72",1,NA,0,155," 63G",63,162,0,0,0,0,0,0,4,0,162,12,NA,162,1,NA,NA,NA,NA,0,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,47,NA,0,NA,2,139.377,NA,NA,NA,NA,NA,NA,NA,NA,"D","","G","E","","W","",1,1,269,23
"73",1,NA,0,169," 64H",64,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,192,NA,NA,NA,NA,NA,0,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,68,NA,10,NA,2,247.001,NA,NA,NA,NA,NA,NA,NA,NA,"9","","H","L","","9","",NA,1,393,23
"74",1,NA,0,148," 65K",65,46,0,5,16,21,11,3,0,-23,156,12,NA,156,2,NA,NA,NA,NA,0,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,42,NA,0,NA,2,43.506,NA,NA,NA,NA,NA,NA,NA,NA,"Y","","K","E","","W","",1,1,262,23
"75",2,1,0,148," 66E",66,50,0,5,4,4,4,3,4,-39,140,12,NA,140,3,NA,NA,NA,NA,0,0,0,1,NA,"F","9",NA,NA,NA,NA,1,NA,1,NA,NA,68,76,0,NA,2,72.192,NA,NA,NA,NA,NA,NA,NA,NA,"Y","9","E","L","9","W","9",1,1,246,23
"76",1,NA,0,153," 67G",67,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,998,NA,NA,NA,NA,NA,0,0,0,1,NA,"L","",NA,NA,NA,NA,1,NA,1,NA,NA,2,NA,NA,NA,2,240.562,NA,NA,NA,NA,NA,NA,NA,NA,"F","","G","E","","9","",1,1,258,23
"77",1,NA,0,155," 68H",68,145,0,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,164,NA,NA,NA,NA,NA,0,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,0,NA,2,426.319,NA,NA,NA,NA,NA,NA,NA,NA,"D","","H","E","","W","",1,2,289,23
"78",1,5,0,143," 69B",69,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,6,3,NA,NA,NA,0,0,0,NA,NA,"F","F",NA,NA,NA,NA,1,NA,NA,NA,NA,2,42,0,NA,2,27.274,NA,NA,NA,NA,NA,NA,NA,NA,"D","R","B","E","E","W","E",1,1,248,23
"79",1,NA,0,157," 70G",70,133,0,14,16,16,16,16,14,-9,150,6,NA,150,3,NA,NA,NA,NA,0,0,0,1,NA,"B","",NA,NA,NA,NA,1,NA,1,NA,NA,2,NA,180,NA,2,524.785,NA,NA,NA,NA,NA,NA,NA,NA,"D","","G","E","","W","",0,1,276,23
"80",1,NA,0,173," 70G",70,172,0,2,2,2,3,4,7,0,178,12,NA,178,1,NA,NA,NA,NA,0,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,0,NA,2,524.785,NA,NA,NA,NA,NA,NA,NA,NA,"D","","G","L","","W","",0,2,357,23
"81",1,NA,0,151," 71K",71,102,0,94,77,59,40,20,6,-10,148,12,NA,148,4,NA,NA,NA,NA,0,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,2,NA,0,NA,2,50.783,NA,NA,NA,NA,NA,NA,NA,NA,"D","","K","E","","W","",1,1,262,23
"82",1,NA,0,157," 71K",71,45,0,62,59,43,32,15,0,-51,146,12,NA,146,3,NA,NA,NA,NA,0,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,0,NA,2,50.783,NA,NA,NA,NA,NA,NA,NA,NA,"L","","K","E","","W","",1,2,276,23
"83",1,NA,0,147," 72D",72,132,0,0,2,16,31,8,4,67,231,10,NA,998,3,NA,NA,NA,NA,0,0,0,1,NA,"L","",NA,NA,NA,NA,1,NA,1,NA,NA,2,NA,310,NA,2,50.783,NA,NA,NA,NA,NA,NA,NA,NA,"Y","","D","E","","W","",0,1,262,23
