"","ACCSEQDV","ACCTYPE","ALCTEST","ANGTHIS","ANGOTHER","WEATHER","BAREQSP","BODYTYPE","CARGOWGT","CASEID","CASENO","CONDTREE","CURBWGT","DVEST","DOCTRAJ","DRIVDIST","DRINKING","DRPRES","DRRACE","DRZIP","DVBASIS","DVCONFID","DVLAT","DVLONG","DVTOTAL","ENERGY","FOVERIDE","IMPACTSP","INSPTYPE","LANES","LGTCOND","MAKE","MANEUVER","MODEL","MODELYR","OCCFORMS","OCUPANTS","RATWGT","PREEVENT","PREMOVE","PREILOC","PREISTAB","PSU","ALIGNMNT","SURCOND","PROFILE","SURTYPE","RELINTER","ROLINDIR","ROLINLOC","ROLINTYP","ROLLOBJ","ROLLOVER","ROVERIDE","SPECOTH","SPLIMIT","STRATIF","TOWHITCH","TOWPAR","TRAFCONT","TRCTLFCT","TRAVELSP","TRAFFLOW","TRIPLOC","VEHNO","VEHUSE","VIN","VINLNGTH","DRUGS","VINO","VERSION","VINMODYR","MCYCLDS","VEHWGT","VINMAKE","VINAMOD","SERTR","VINBT","ROOF1","ROOF2","ROOF3","ANTILOCK","FRTWHLDR","FOURWHDR","RESTYPE","CARBUR","FUELCODE","WGTCDTR","VEHTYPE","WHLDRWHL","DAYRUNLT","otvehwgt","otbdytyp","VINJSER","VINJURED","VTREAT","VAIS"
"6968",4,89,NA,998,998,0,NA,16,0,"138D",138,3,193,7,0,1,0,1,1,68107,9,0,NA,NA,NA,NA,0,NA,3,2,1,23,1,431,1984,2,2,11.507,66,1,1,1,74,1,1,1,2,2,0,0,0,0,0,0,0,40,"D",0,1,0,0,NA,0,0,2,0,"1G5EC16L5EF5",17,0,4,19,1984,NA,NA,"GMC","C15","SUB","4W",NA,NA,NA,NA,"","","","","G",2,"T",42,"",998,98,0,2,4,2
"6969",1,1,NA,998,998,0,NA,4,0,"139E",139,7,121,NA,0,3,0,1,1,68122,11,0,NA,NA,NA,NA,0,NA,2,2,1,55,1,35,2004,3,3,40.953,13,14,4,1,74,3,1,1,1,0,0,0,0,0,0,0,0,40,"E",0,1,0,0,NA,0,0,1,0,"KMHDN46DX4U7",17,0,5,19,2004,NA,2635,"HYUN","EST","","4D",1,NA,NA,5,"Y","N","K","F","G",NA,"P",NA,"U",998,98,1,1,4,3
"6970",1,76,NA,290,280,0,NA,14,0,"140F",140,0,214,7,0,NA,0,1,NA,68123,11,0,NA,NA,NA,NA,0,NA,2,1,1,20,NA,403,2004,0,2,133.37,15,11,1,1,74,1,1,2,1,1,0,0,0,0,0,0,0,48,"F",0,0,2,2,NA,3,0,1,0,"1GNDT13S8424",17,0,4,19,2004,NA,NA,"CHEV","TRL","LST","4W",1,3,NA,2,"","","E","","G",1,"T",44,"S",153,2,NA,NA,NA,NA
"6971",1,77,NA,280,290,0,NA,2,3,"140F",140,0,153,7,0,1,0,1,1,68117,11,0,NA,NA,NA,NA,0,NA,2,3,1,20,9,36,2002,1,1,133.37,65,1,1,1,74,1,1,4,1,1,0,0,0,0,0,0,0,48,"F",0,1,0,0,NA,1,0,2,0,"2G1WX15K5293",17,0,4,19,2002,NA,3395,"CHEV","MSS","","CP",1,3,NA,2,"Y","N","X","F","G",NA,"P",NA,"S",214,14,0,1,4,1
"6972",1,98,NA,85,110,0,9,15,0,"141H",141,0,234,0,0,1,0,1,1,68138,3,4,3,8,8,102,0,998,1,3,1,20,1,421,2005,0,1,347.99,60,5,1,1,74,3,1,1,2,2,0,0,0,0,0,0,0,56,"H",0,0,0,0,NA,1,0,1,0,"1GNEK13Z55R2",17,0,4,19,2005,NA,NA,"CHEV","KTA","KTA","4W",1,3,NA,2,"","","4","","F",2,"T",44,"S",147,30,NA,NA,NA,NA
"6973",1,98,NA,110,85,0,12,30,0,"141H",141,0,147,0,0,12,0,1,1,68134,3,4,0,-13,13,96,0,998,3,3,1,7,1,472,1993,1,1,347.99,50,15,2,1,74,3,1,1,2,2,0,0,0,0,0,0,0,56,"H",0,1,1,2,NA,1,0,2,0,"1B7GL23Y5PS2",17,0,4,19,1993,NA,NA,"DODG","DAK","DAK","PC",1,NA,NA,3,"","","A","","G",1,"T",42,"N",234,15,0,0,0,0
"6974",1,1,NA,998,998,0,11,4,0,"142J",142,1,148,0,0,98,0,1,1,68144,1,3,0,-11,11,89,0,998,3,4,1,35,1,39,2003,1,1,8.119,13,1,4,1,74,1,1,1,1,0,0,0,0,0,0,0,0,56,"J",0,1,4,2,NA,0,0,1,0,"JN1DA31D03T5",17,0,5,19,2003,NA,3118,"NISS","MGS","","4D",1,3,NA,2,"Y","N","E","F","G",NA,"P",NA,"N",998,98,0,1,3,1
"6975",1,68,NA,290,165,1,30,4,0,"143F",143,0,107,0,0,1,0,1,1,68164,3,4,-23,-19,30,527,0,998,3,3,3,20,1,32,1997,2,2,137.181,15,11,1,1,74,1,2,4,2,2,0,0,0,0,0,0,0,64,"F",0,1,1,2,NA,1,0,1,0,"1Y1SK5267VZ4",17,0,4,19,1997,NA,2360,"GEO","GEP","","4D",1,3,NA,5,"Y","N","E","F","G",NA,"P",NA,"S",225,31,0,2,4,2
"6976",1,69,NA,165,290,1,14,31,18,"143F",143,0,225,0,0,1,0,1,1,68122,3,4,2,-14,14,254,0,998,4,2,3,12,2,481,1999,0,1,137.181,62,14,1,1,74,2,2,2,1,2,0,0,0,0,0,0,0,64,"F",0,0,1,2,NA,1,0,2,0,"1FTNF20L5XEB",17,0,4,19,1999,NA,NA,"FORD","SRW","F2S","PK",1,NA,NA,4,"","","U","","G",2,"T",42,"O",107,4,NA,NA,NA,NA
"6977",1,28,NA,260,270,0,NA,14,0,"144G",144,0,181,NA,0,12,0,1,1,51652,11,0,NA,NA,NA,NA,0,NA,2,3,1,2,1,405,2005,1,1,112.171,52,2,1,1,74,1,1,4,2,2,0,0,0,0,0,0,0,48,"G",0,1,1,2,NA,3,0,1,0,"1J4GL58K65W5",17,0,4,19,2005,NA,NA,"JEEP","LIB","LMD","4W",1,3,NA,5,"","","E","","G",1,"T",44,"N",217,31,0,0,0,0
"6978",1,29,NA,270,260,0,NA,31,NA,"144G",144,0,217,NA,0,NA,0,1,NA,68105,11,0,NA,NA,NA,NA,0,NA,4,3,1,20,NA,481,1996,0,1,112.171,53,2,1,1,74,1,1,4,2,2,0,0,0,0,0,0,0,48,"G",0,0,1,2,NA,3,0,2,0,"2GCEK19R2T12",17,0,4,19,1996,NA,NA,"CHEV","GM4","GK1","PC",1,NA,NA,2,"","","M","","G",2,"T",44,"S",181,14,NA,NA,NA,NA
"6979",1,69,NA,270,40,0,37,4,0,"145H",145,0,130,0,0,NA,0,1,NA,68104,3,1,12,-34,36,912,0,998,3,3,1,18,NA,7,1990,1,1,357.932,62,1,1,1,74,1,1,1,2,2,0,0,0,0,0,0,0,56,"H",0,1,1,2,NA,1,0,1,0,"3G4AH54N6LS6",17,0,4,19,1990,NA,2726,"BUIC","CCU","","4D",1,2,NA,1,"Y","N","P","F","G",NA,"P",NA,"N",152,4,0,0,0,0
"6980",1,68,NA,40,270,0,31,4,0,"145H",145,0,152,0,0,1,0,1,1,68104,3,4,-16,-27,31,912,0,998,3,3,1,12,1,17,2002,1,1,357.932,15,11,1,1,74,3,1,1,2,2,0,0,0,0,0,0,0,56,"H",0,1,1,2,NA,1,0,2,0,"1FAFP53U32G2",17,0,4,19,2002,NA,3355,"FORD","TSE","","4D",1,NA,NA,7,"Y","N","E","F","G",NA,"P",NA,"O",130,4,0,0,0,0
"6981",1,6,0,998,998,0,NA,4,0,"146B",146,7,107,7,0,98,0,1,1,68106,9,0,NA,NA,NA,NA,0,NA,3,5,3,20,1,32,1995,1,1,8.504,12,1,4,1,74,1,1,1,2,0,0,0,0,0,0,0,2,56,"B",0,1,0,0,NA,0,0,1,0,"1Y1SK5263SZ0",17,1,4,19,1995,NA,2348,"GEO","GEP","","4D",1,3,NA,5,"Y","N","E","F","G",NA,"P",NA,"N",998,98,0,1,2,1
"6982",1,14,0,998,998,0,NA,4,1,"147K",147,0,147,8,1,1,0,1,2,68110,10,0,NA,NA,NA,NA,0,NA,3,2,1,21,4,2,1989,4,4,8.219,14,1,4,1,74,1,1,4,1,2,0,0,0,0,0,0,2,40,"K",0,1,2,2,NA,0,0,1,0,"1G3HY54C3KW3",17,0,4,19,1989,NA,3134,"OLDS","FRB","","4D",1,2,NA,5,"Y","N","P","F","G",NA,"P",NA,"N",998,98,0,3,3,2
"6983",2,98,NA,270,270,0,NA,14,0,"148E",148,0,185,6,0,NA,0,1,NA,68135,11,0,NA,NA,NA,NA,0,NA,4,3,3,2,NA,404,2001,0,1,70.596,53,5,1,1,74,1,1,4,1,2,0,0,0,0,0,0,0,56,"E",0,0,1,2,0,0,0,1,0,"1J4GW48S81C5",17,0,4,19,2001,NA,NA,"JEEP","GCK","LRO","4W",1,NA,NA,2,"","","E","","G",1,"T",44,"N",142,4,NA,NA,NA,NA
"6984",2,21,NA,270,270,0,NA,4,0,"148E",148,0,142,NA,0,8,0,1,1,68022,11,0,NA,NA,NA,NA,0,NA,2,3,3,41,1,50,2006,1,1,70.596,53,5,1,1,74,1,1,4,1,2,0,0,0,0,0,0,0,56,"E",0,1,1,2,0,0,0,2,0,"1YVFP80C365M",17,0,4,19,2006,NA,3091,"MAZD","M6I","","4D",1,3,NA,2,"Y","N","E","F","G",NA,"P",NA,"S",185,14,0,1,4,1
"6985",1,20,NA,270,270,0,NA,2,0,"148E",148,0,152,NA,0,NA,0,1,NA,68130,11,0,NA,NA,NA,NA,0,NA,2,3,3,45,NA,31,1999,0,1,70.596,50,1,1,1,74,1,1,4,1,2,0,0,0,0,0,0,0,56,"E",0,0,1,2,NA,0,0,3,0,"WP0AA2990XS6",17,0,5,19,1999,NA,2955,"PORS","9/4","","CP",1,3,NA,2,"N","*","K","F","G",NA,"P",NA,"N",142,4,NA,NA,NA,NA
"6986",1,20,NA,220,220,0,13,14,0,"149G",149,0,149,0,0,1,0,1,1,68048,3,4,0,-13,13,106,4,998,2,4,5,49,1,402,2005,2,2,187.99,50,14,1,1,74,2,1,2,1,2,0,0,0,0,0,0,0,40,"G",0,1,1,2,NA,1,0,1,0,"JTEHD20V2560",17,0,5,19,2005,NA,NA,"TOYT","RV4","RV4","4W",1,3,NA,2,"","","E","","G",1,"T",44,"S",177,14,0,0,0,0
"6987",1,23,NA,220,220,0,12,14,2,"149G",149,0,177,0,0,1,0,1,NA,68124,3,4,0,12,12,111,0,998,4,4,5,38,1,402,1999,0,1,187.99,53,5,1,1,74,2,1,2,1,2,0,0,0,0,0,1,0,40,"G",0,0,1,2,NA,1,0,2,0,"4S2CM58W2X43",17,0,4,19,1999,NA,NA,"ISU","ROD","RLL","4W",1,3,NA,4,"","","E","","G",1,"T",44,"U",149,14,NA,NA,NA,NA
"6988",1,86,NA,90,180,0,12,14,0,"150H",150,0,164,0,0,1,0,1,1,68117,1,1,4,-10,11,96,0,998,3,2,1,20,2,401,2002,1,1,599.868,66,1,1,1,74,1,1,1,2,2,0,0,0,0,0,0,0,89,"H",0,1,5,2,NA,0,0,1,0,"1GNCS18W42K2",17,0,4,19,2002,NA,NA,"CHEV","BZR","BZR","2W",1,3,NA,2,"","","E","","G",1,"T",42,"S",186,14,0,0,0,0
"6989",1,87,NA,180,90,0,10,14,0,"150H",150,0,186,0,0,NA,0,1,NA,68025,1,1,-9,-3,10,102,0,998,4,2,1,12,NA,401,1993,0,2,599.868,17,1,1,1,74,1,1,1,2,2,0,0,0,0,0,0,0,89,"H",0,0,2,2,NA,0,0,2,0,"1FMDU34X1PUD",17,0,4,19,1993,NA,NA,"FORD","EPR","EPR","4W",1,2,NA,2,"","","A","","G",1,"T",44,"N",164,14,NA,NA,NA,NA
"6990",1,7,25,997,997,0,NA,14,2,"151B",151,0,184,7,0,NA,1,1,3,68107,5,0,NA,NA,NA,NA,0,NA,3,2,3,49,NA,401,1990,2,2,9.708,12,1,4,4,74,1,1,4,2,0,1,4,1,61,5,0,1,40,"B",0,1,0,0,NA,0,1,1,0,"JT3VN39W4L80",17,0,5,19,1990,NA,NA,"TOYT","RUN","V39","UT",1,3,NA,6,"","","A","","G",1,"T",44,"N",998,98,2,2,1,4
"6991",2,1,33,998,998,0,NA,4,0,"152K",152,8,95,7,0,NA,1,1,1,68104,9,0,NA,NA,NA,NA,0,NA,3,3,3,49,NA,32,1990,2,2,12.511,13,1,4,1,74,1,2,1,1,0,0,0,0,0,0,0,1,56,"K",0,1,0,0,NA,1,0,1,0,"1NXAE94A8LZ0",17,0,4,19,1990,NA,2207,"TOYT","CDF","","4D",1,NA,NA,1,"Y","N","P","F","G",NA,"P",NA,"N",998,98,0,2,3,2
"6992",1,87,0,180,80,0,73,4,0,"153K",153,0,116,0,1,NA,0,1,NA,68111,1,1,-62,-11,63,2921,0,998,3,3,3,7,NA,20,2000,1,1,12.511,66,1,1,1,74,1,1,1,1,2,0,0,0,0,0,0,1,56,"K",0,1,1,2,NA,1,0,1,0,"1B3ES46C2YD5",17,0,4,19,2000,NA,2515,"DODG","NSE","","4D",1,NA,NA,5,"Y","N","E","F","G",NA,"P",NA,"N",213,6,1,1,1,5
"6993",1,86,NA,80,180,0,21,6,0,"153K",153,0,213,0,1,NA,1,1,2,68111,1,1,6,-34,35,405,0,998,3,3,3,6,1,54,2006,1,1,12.511,17,14,1,1,74,3,1,1,1,2,0,0,0,0,0,0,NA,64,"K",0,1,1,2,NA,1,0,2,0,"2A4GF68466R6",17,1,4,19,2006,NA,NA,"CHRY","PIF","TOR","4W",1,3,NA,2,"","","E","","G",1,"T",44,"O",116,4,0,0,4,0
