"","ACCSEQ1","ACCSEQ2","ALTVEH","ORIGAVTW","CASEID","CASENO","DIRDAMW","DOCCDC","DVC1","DVC2","DVC3","DVC4","DVC5","DVC6","DVD","DVL","DOF1","DOF2","UNDENDW","EXTENT1","EXTENT2","FUELCAP1","FUELCAP2","FUELPRE1","FUELPRE2","FIRE","FIREORIG","FUELDAM1","FUELDAM2","GAD1","GAD2","FUELLOC1","FUELLOC2","FUELTNK1","FUELTNK2","FUELTYP1","FUELTYP2","FUELEAK1","FUELEAK2","FUELGT2","OBJCONT1","OBJCONT2","PDOF1","PDOF2","PSU","RATWGT","SDVC1","SDVC2","SDVC3","SDVC4","SDVC5","SDVC6","SDVD","SDVL","SHL1","SHL2","STRATIF","SVL1","SVL2","TDD1","TDD2","VEHNO","WHEELBAS","VERSION"
"1",1,2,0,170,"  1K",1,138,0,70,68,62,51,40,33,0,190,12,0,190,3,2,NA,NA,NA,0,0,0,1,NA,"F","R",NA,NA,NA,NA,1,NA,1,NA,NA,2,31,350,998,2,36.627,NA,NA,NA,NA,NA,NA,NA,NA,"D","Y","K","E","A","W","O",1,353,28
"2",1,NA,0,160,"  3E",3,144,0,18,21,26,32,23,17,0,144,6,NA,144,4,NA,NA,NA,NA,0,0,0,1,NA,"B","",NA,NA,NA,NA,1,NA,1,NA,NA,2,NA,180,NA,2,375.482,NA,NA,NA,NA,NA,NA,NA,NA,"D","","E","E","","W","",1,280,28
"3",1,NA,0,155,"  4F",4,35,0,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,156,4,NA,NA,NA,NA,0,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,2,NA,330,NA,2,2374.467,NA,NA,NA,NA,NA,NA,NA,NA,"L","","F","E","","E","",1,272,28
"4",1,NA,0,148,"  4F",4,220,0,2,3,3,6,15,0,80,255,11,NA,998,3,NA,NA,NA,NA,0,0,0,1,NA,"L","",NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,320,NA,2,2374.467,NA,NA,NA,NA,NA,NA,NA,NA,"Y","","F","A","","W","",2,255,28
"5",2,NA,0,151,"  5H",5,40,0,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,148,1,NA,NA,NA,NA,0,0,0,1,NA,"B","",NA,NA,NA,NA,1,NA,1,NA,NA,2,NA,180,NA,2,2403.604,NA,NA,NA,NA,NA,NA,NA,NA,"C","","H","L","","N","",1,262,28
"6",1,2,0,168,"  5H",5,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,6,12,160,NA,1,NA,NA,NA,0,0,0,1,NA,"B","F",NA,NA,NA,NA,1,NA,1,NA,NA,3,1,180,0,2,2403.604,NA,NA,NA,NA,NA,NA,NA,NA,"9","C","H","9","L","9","W",2,302,28
"7",1,NA,0,168,"  5H",5,176,0,0,0,5,4,3,2,0,176,12,NA,176,1,NA,NA,NA,NA,0,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,2,NA,0,NA,2,2403.604,NA,NA,NA,NA,NA,NA,NA,NA,"D","","H","E","","W","",3,300,28
"8",1,NA,0,153,"  7H",7,140,0,10,12,17,19,13,11,0,140,12,NA,140,1,NA,NA,NA,NA,0,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,0,NA,2,6747.934,NA,NA,NA,NA,NA,NA,NA,NA,"D","","H","E","","W","",2,265,28
"9",4,2,0,150,"  8H",8,56,1,0,2,7,25,6,0,-50,200,1,1,998,2,3,NA,NA,NA,0,0,0,1,NA,"R","R",NA,NA,NA,NA,1,NA,1,NA,NA,42,42,40,40,2,3670.775,0,1,3,6,7,0,99,65,"P","F","H","A","E","W","N",1,272,28
"10",1,NA,0,152," 10E",10,3,0,0,0,0,0,1,2,80,164,12,NA,164,7,NA,NA,NA,NA,0,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,2,NA,0,NA,2,92.289,NA,NA,NA,NA,NA,NA,NA,NA,"R","","E","E","","S","",1,260,28
"11",1,NA,0,170," 10E",10,168,0,2,4,5,2,2,0,-174,170,6,NA,998,2,NA,NA,NA,NA,0,0,0,1,NA,"L","",NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,180,NA,2,92.289,NA,NA,NA,NA,NA,NA,NA,NA,"B","","E","E","","W","",2,299,28
"12",1,2,0,156," 11E",11,250,0,0,0,0,2,0,0,37,277,12,12,998,1,1,NA,NA,NA,0,0,0,1,NA,"R","F",NA,NA,NA,NA,1,NA,1,NA,NA,48,48,0,0,2,180.91,0,3,6,5,2,0,-51,144,"D","L","E","E","E","S","E",1,270,28
"13",1,2,0,151," 12G",12,143,0,0,0,0,0,1,4,1,148,12,0,148,1,1,NA,NA,NA,0,0,0,1,NA,"F","R",NA,NA,NA,NA,17,NA,1,NA,NA,44,31,0,998,2,368.666,NA,NA,NA,NA,NA,NA,NA,NA,"D","D","G","E","E","W","O",1,264,28
