"","VERSION","TEXT71","PSU","CASENO","STRATIF","LINENO","CASEID"
"12691",25,"in the second northbound lane adjecent to V2.  V1 struck V2 on the left rear",73,165,"F",4,"165F"
"12692",25,"corner with the right front corner and rotated slightly clockwise and struck V3",73,165,"F",5,"165F"
"12693",25,"on the back right corner with the left side.  All three vehicles came to final",73,165,"F",6,"165F"
"12694",25,"rest in the roadway.",73,165,"F",7,"165F"
"12695",25,"V1 was traveling northbound on a three lane, two way, undivided roadway",73,166,"H",1,"166H"
"12696",25,"approaching a 'Y' intersection.  V2 was traveling westbound on a three lane, two",73,166,"H",2,"166H"
"12697",25,"way, undivided roadway approaching the same intersection.  At the intersection",73,166,"H",3,"166H"
"12698",25,"V1 turned left.  The front of V1 contacted the front of V2.  Both vehicles came",73,166,"H",4,"166H"
"12699",25,"to rest in the roadway.",73,166,"H",5,"166H"
"12700",25,"V1 was pulling out of a parking lot heading south turning left across westbound",73,167,"B",1,"167B"
"12701",25,"traffic lanes entering the eastbound lanes of travel on a two way, four lane",73,167,"B",2,"167B"
"12702",25,"trafficway.  V2 was traveling east in the second eastbound lane of the",73,167,"B",3,"167B"
"12703",25,"trafficway.  V2 struck V1 on the right side of its trailer with the front end.",73,167,"B",4,"167B"
"12704",25,"Both vehicles came to final rest in the roadway.",73,167,"B",5,"167B"
"12705",25,"V1 was eastbound, approaching an intersection.  V2 was southbound, approaching",73,168,"F",1,"168F"
"12706",25,"the same intersection.  In the intersection, the front of V1 struck the right",73,168,"F",2,"168F"
"12707",25,"side of V2.  V1 then traveled off the SE corner of the intersection and the",73,168,"F",3,"168F"
"12708",25,"front struck a wooden utility pole.",73,168,"F",4,"168F"
"12709",25,"V1 was westbound on an undivided roadway.  V1 traveled off the right side of the",73,169,"H",1,"169H"
"12710",25,"roadway and the front struck a sign post.  V1 continued off the roadway and the",73,169,"H",2,"169H"
"12711",25,"front struck the end of a guardrail.  V1 traveled up on top of the rail and",73,169,"H",3,"169H"
"12712",25,"rolled over to the right two quarter-turns.",73,169,"H",4,"169H"
"12713",25,"Vehicle #1 was traveling west and Vehicle #2 and Vehicle #3 were stopped, at an",73,170,"E",1,"170E"
"12714",25,"intersection, heading west. The front of V1 contacted the back of V2.  The front",73,170,"E",2,"170E"
"12715",25,"of V2 then contacted the back of V3.",73,170,"E",3,"170E"
"12716",25,"V1 was westbound on an undivided roadway.  V1 traveled off the left side of the",73,171,"F",1,"171F"
"12717",25,"roadway and the front struck a curb and three small trees.",73,171,"F",2,"171F"
"12718",25,"V1 was westbound, approaching an intersection.  V2 was westbound, approaching",73,172,"H",1,"172H"
"12719",25,"the same intersection.  V2 stopped at the intersection.  The front of V1 struck",73,172,"H",2,"172H"
"12720",25,"the back of V2.",73,172,"H",3,"172H"
"12721",25,"V1 was westbound on an undivided roadway.  V2 was westbound on the same roadway",73,173,"G",1,"173G"
"12722",25,"behind V1.  V1 turned right at an intersection and then turned back to continue",73,173,"G",2,"173G"
"12723",25,"westbound.  The front of V1 struck the right side of V2.",73,173,"G",3,"173G"
"12724",25,"V1 was west bound on a divided trafficway.  V1 traveled off the roadway on the",73,174,"H",1,"174H"
"12725",25,"right side.  V1 struck the curb and then rolled over to the right one",73,174,"H",2,"174H"
"12726",25,"quarter-turn.",73,174,"H",3,"174H"
"12727",25,"Vehicle #1 and Vehicle #2 were traveling south.  V1 slowed and the front of V2",74,73,"A",1," 73A"
"12728",25,"impacted the back of V1.  V2 departed the roadway to the right onto a grass",74,73,"A",2," 73A"
"12729",25,"foreslope, entered a counter-clockwise yaw, tripped and rolled over to the right",74,73,"A",3," 73A"
"12730",25,"four quarter-turns. The rollover event was interrupted by impact to three",74,73,"A",4," 73A"
"12731",25,"trees. The driver was completely ejected during the rollover event.",74,73,"A",5," 73A"
"12732",25,"Vehicle one was eastbound, approaching an intersection, intending to turn left.",74,74,"H",1," 74H"
"12733",25,"Vehicle two was northbound, approaching the same intersection, traveling",74,74,"H",2," 74H"
"12734",25,"straight.  The front of V2 impacted the right of V1 in the intersection.",74,74,"H",3," 74H"
"12735",25,"The vehicle was southbound on a freeway.  V1 departed the road to the left into",74,75,"B",1," 75B"
"12736",25,"a painted median in an attempt to merge left onto an access ramp.  V1 emerged",74,75,"B",2," 75B"
"12737",25,"onto the ramp and lost traction.  V1 rotated clockwise as it departed the road",74,75,"B",3," 75B"
"12738",25,"to the right, where its front struck a metal guardrail.  V1 contnued to rotate",74,75,"B",4," 75B"
"12739",25,"and its left side struck the guardrail again.",74,75,"B",5," 75B"
"12740",25,"V1 was traveling eastbound.  V1 departed the roadway on the right side,",74,76,"H",1," 76H"
"12741",25,"traversed a field, and struck a chain-link fence with its front.",74,76,"H",2," 76H"
"12742",25,"The vehicle was eastbound.  It entered into a right turn at a T-intersection.",74,77,"B",1," 77B"
"12743",25,"V1 lost traction as it turned and slid sideways toward the raised curb.  The",74,77,"B",2," 77B"
"12744",25,"left wheels of V1 contacted the curb, initiating a rollover onto the grass",74,77,"B",3," 77B"
"12745",25,"roadside.  V1 rolled six quarter-turns and came to rest on its roof.",74,77,"B",4," 77B"
"12746",25,"The vehicle was westbound negotiating a curve to the left.  It departed the",74,78,"K",1," 78K"
"12747",25,"roadway to the right, impacting two trees.",74,78,"K",2," 78K"
"12748",25,"Vehicle one was westbound approaching an intersection.  Vehicle two was",74,79,"K",1," 79K"
