"","ACCSEQ1","ACCSEQ2","ALTVEH","ORIGAVTW","CASEID","CASENO","DIRDAMW","DOCCDC","DVC1","DVC2","DVC3","DVC4","DVC5","DVC6","DVD","DVL","DOF1","DOF2","UNDENDW","EXTENT1","EXTENT2","FUELCAP1","FUELCAP2","FUELPRE1","FUELPRE2","FIRE","FIREORIG","FUELDAM1","FUELDAM2","GAD1","GAD2","FUELLOC1","FUELLOC2","FUELTNK1","FUELTNK2","FUELTYP1","FUELTYP2","FUELEAK1","FUELEAK2","FUELGT2","OBJCONT1","OBJCONT2","PDOF1","PDOF2","PSU","RATWGT","SDVC1","SDVC2","SDVC3","SDVC4","SDVC5","SDVC6","SDVD","SDVL","SHL1","SHL2","STRATIF","SVL1","SVL2","TDD1","TDD2","VEHNO","WHEELBAS","VERSION"
"3054",1,NA,0,152,"142F",142,250,0,0,3,3,2,6,0,39,300,1,NA,998,2,NA,NA,NA,NA,0,0,0,1,NA,"R","",NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,20,NA,78,491.995,NA,NA,NA,NA,NA,NA,NA,NA,"D","","F","E","","W","",2,270,25
"3055",1,2,0,154,"143D",143,34,0,1,1,3,5,7,15,57,168,12,3,168,3,1,NA,NA,NA,0,0,0,1,NA,"F","R",NA,NA,NA,NA,1,NA,1,NA,NA,2,2,10,90,78,56.614,NA,NA,NA,NA,NA,NA,NA,NA,"R","B","D","E","E","E","E",1,262,25
"3056",1,2,0,156,"143D",143,111,0,7,23,38,50,52,57,0,156,11,9,156,3,1,NA,NA,NA,0,0,0,1,NA,"F","L",NA,NA,NA,NA,1,NA,1,NA,NA,1,1,330,270,78,56.614,NA,NA,NA,NA,NA,NA,NA,NA,"D","F","D","E","E","W","S",2,272,25
"3057",2,1,0,184,"144E",144,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,6,12,184,NA,NA,NA,NA,NA,0,0,0,1,NA,"B","L",NA,NA,NA,NA,2,NA,1,NA,NA,3,2,190,350,78,143.016,NA,NA,NA,NA,NA,NA,NA,NA,"Z","Y","E","E","E","W","W",1,406,25
"3058",1,NA,0,150,"144E",144,56,0,0,0,0,0,5,17,47,150,3,NA,150,2,NA,NA,NA,NA,0,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,80,NA,78,143.016,NA,NA,NA,NA,NA,NA,NA,NA,"Z","","E","E","","W","",2,251,25
"3059",2,3,0,NA,"144E",144,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,148,1,NA,NA,NA,NA,0,0,0,1,NA,"F","R",NA,NA,NA,NA,1,NA,1,NA,NA,1,4,320,NA,78,143.016,NA,NA,NA,NA,NA,NA,NA,NA,"Y","F","E","E","E","W","N",3,265,25
"3060",3,NA,NA,NA,"144E",144,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,998,NA,NA,NA,NA,NA,0,0,0,NA,NA,"L","",NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,78,143.016,NA,NA,NA,NA,NA,NA,NA,NA,"9","","E","9","","9","",4,NA,25
"3061",1,NA,0,158,"145F",145,100,0,18,8,20,20,17,21,33,174,12,NA,174,2,NA,NA,NA,NA,0,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,2,NA,0,NA,78,327.997,NA,NA,NA,NA,NA,NA,NA,NA,"Z","","F","E","","W","",1,271,25
"3062",1,2,0,NA,"146F",146,37,0,0,0,0,0,22,20,55,148,1,3,148,5,2,NA,NA,NA,0,0,0,1,NA,"F","R",NA,NA,NA,NA,1,NA,1,NA,NA,2,2,20,90,78,327.997,10,14,12,11,4,0,-76,80,"R","B","F","E","E","E","W",1,262,25
"3063",1,2,0,NA,"146F",146,162,0,24,4,25,16,12,24,0,178,12,9,178,2,1,NA,NA,NA,0,0,0,1,NA,"F","L",NA,NA,NA,NA,1,NA,1,NA,NA,1,1,350,270,78,327.997,0,1,0,0,0,0,55,66,"D","P","F","E","E","W","W",2,242,25
