"","ACCSEQ1","ACCSEQ2","ALTVEH","ORIGAVTW","CASEID","CASENO","DIRDAMW","DOCCDC","DVC1","DVC2","DVC3","DVC4","DVC5","DVC6","DVD","DVL","DOF1","DOF2","UNDENDW","EXTENT1","EXTENT2","FUELCAP1","FUELCAP2","FIRE","FIREORIG","FUELDAM1","FUELDAM2","GAD1","GAD2","FUELLOC1","FUELLOC2","FUELTNK1","FUELTNK2","FUELTYP1","FUELTYP2","FUELEAK1","FUELEAK2","FUELGT2","OBJCONT1","OBJCONT2","PDOF1","PDOF2","PSU","RATWGT","SDVC1","SDVC2","SDVC3","SDVC4","SDVC5","SDVC6","SDVD","SDVL","SHL1","SHL2","STRATIF","SVL1","SVL2","TDD1","TDD2","TOWRES","VEHNO","WHEELBAS","VERSION"
"1",2,1,0,148,"  1G",1,36,0,7,6,4,4,3,3,-45,130,12,12,130,1,4,NA,NA,0,0,1,NA,"F","F",NA,NA,NA,NA,1,NA,1,NA,NA,3,2,0,0,2,351.84,NA,NA,NA,NA,NA,NA,NA,NA,"L","L","G","E","E","E","E",1,1,262,20
"2",2,3,0,147,"  1G",1,62,0,0,1,1,5,9,0,-45,130,5,NA,998,1,NA,NA,NA,NA,NA,NA,NA,"R","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,140,NA,2,351.84,NA,NA,NA,NA,NA,NA,NA,NA,"P","9","G","E","9","W","9",0,3,262,20
"3",3,NA,NA,NA,"  1G",1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"B","",NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,2,351.84,NA,NA,NA,NA,NA,NA,NA,NA,"L","","G","L","","N","",NA,4,NA,20
"4",1,NA,0,153,"  2D",2,59,0,11,10,7,0,0,3,-41,149,12,NA,149,1,NA,NA,NA,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,2,NA,0,NA,2,43.962,NA,NA,NA,NA,NA,NA,NA,NA,"Y","","D","E","","W","",1,1,280,20
"5",1,NA,0,147,"  2D",2,127,0,11,11,11,11,12,13,16,156,6,NA,156,1,NA,2,NA,0,0,2,NA,"B","",1,NA,2,NA,1,NA,1,NA,NA,1,NA,180,NA,2,43.962,NA,NA,NA,NA,NA,NA,NA,NA,"D","","D","E","","W","",1,2,269,20
"6",1,NA,0,147,"  4F",4,140,0,13,12,10,6,1,0,-110,180,2,NA,998,2,NA,NA,NA,0,0,1,NA,"R","",NA,NA,NA,NA,1,NA,1,NA,NA,2,NA,70,NA,2,119.148,NA,NA,NA,NA,NA,NA,NA,NA,"Z","","F","E","","W","",1,1,262,20
"7",1,2,0,145,"  4F",4,55,0,0,0,0,0,3,25,40,140,12,12,140,1,4,NA,NA,0,0,1,NA,"F","F",NA,NA,NA,NA,1,NA,1,NA,NA,1,3,10,350,2,119.148,NA,NA,NA,NA,NA,NA,NA,NA,"Z","L","F","E","E","W","S",1,2,260,20
"8",3,1,0,152,"  5H",5,36,1,NA,NA,NA,NA,NA,NA,NA,NA,0,12,998,2,1,NA,NA,0,0,1,NA,"L","F",NA,NA,NA,NA,1,NA,1,NA,NA,31,60,998,0,2,458.076,1,1,1,1,1,1,-61,151,"D","L","H","A","E","O","E",1,1,265,20
"9",3,1,0,163,"  7E",7,60,1,0,0,9,10,0,0,26,174,0,12,174,1,NA,NA,NA,0,0,1,NA,"F","F",NA,NA,NA,NA,1,NA,1,NA,NA,61,46,998,0,2,93.732,NA,NA,NA,NA,NA,NA,NA,NA,"Z","9","E","E","L","W","9",1,1,282,20
"10",1,NA,0,145,"  8H",8,115,0,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,132,NA,NA,NA,NA,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,2,NA,0,NA,2,553.936,NA,NA,NA,NA,NA,NA,NA,NA,"D","","H","E","","W","",0,1,264,20
"11",1,NA,0,151,"  8H",8,85,0,3,3,3,3,3,3,2,147,6,NA,147,1,NA,NA,NA,0,0,1,NA,"B","",NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,180,NA,2,553.936,NA,NA,NA,NA,NA,NA,NA,NA,"D","","H","L","","W","",0,2,256,20
"12",2,1,0,144,"  9K",9,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,10,10,998,NA,NA,NA,NA,0,0,NA,NA,"L","L",NA,NA,NA,NA,1,NA,NA,NA,NA,52,50,300,300,2,55.365,NA,NA,NA,NA,NA,NA,NA,NA,"P","F","K","A","9","N","9",1,1,250,20
