"","ACCSEQ1","ACCSEQ2","ALTVEH","ORIGAVTW","CASEID","CASENO","DIRDAMW","DOCCDC","DVC1","DVC2","DVC3","DVC4","DVC5","DVC6","DVD","DVL","DOF1","DOF2","UNDENDW","EXTENT1","EXTENT2","FUELCAP1","FUELCAP2","FIRE","FIREORIG","FUELDAM1","FUELDAM2","GAD1","GAD2","FUELLOC1","FUELLOC2","FUELTNK1","FUELTNK2","FUELTYP1","FUELTYP2","FUELEAK1","FUELEAK2","FUELGT2","OBJCONT1","OBJCONT2","PDOF1","PDOF2","PSU","RATWGT","SDVC1","SDVC2","SDVC3","SDVC4","SDVC5","SDVC6","SDVD","SDVL","SHL1","SHL2","STRATIF","SVL1","SVL2","TDD1","TDD2","TOWRES","VEHNO","WHEELBAS","VERSION"
"13",1,NA,0,147," 11F",11,25,0,15,48,32,23,9,1,-20,150,12,NA,150,2,NA,NA,NA,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,42,NA,0,NA,2,601.48,NA,NA,NA,NA,NA,NA,NA,NA,"Y","","F","E","","N","",1,1,259,20
"14",1,2,0,161," 12H",12,23,1,26,43,34,19,7,0,-48,156,12,0,156,3,1,NA,NA,0,0,1,NA,"F","R",NA,NA,NA,NA,1,NA,1,NA,NA,42,31,0,998,2,2312.443,NA,NA,NA,NA,NA,NA,NA,NA,"L","9","H","E","9","N","O",1,1,285,20
"15",1,NA,0,142," 13D",13,48,0,75,69,51,30,12,0,-51,150,12,NA,150,3,NA,NA,NA,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,68,NA,0,NA,2,54.627,NA,NA,NA,NA,NA,NA,NA,NA,"L","","D","E","","W","",1,1,243,20
"16",1,NA,0,149," 14F",14,204,0,2,15,42,47,34,0,-23,259,4,NA,998,3,NA,NA,NA,0,0,1,NA,"R","",NA,NA,NA,NA,1,NA,1,NA,NA,2,NA,110,NA,2,427.543,NA,NA,NA,NA,NA,NA,NA,NA,"P","","F","E","","W","",1,1,270,20
"17",1,NA,0,151," 14F",14,86,0,12,11,5,5,0,0,-24,140,71,NA,140,1,NA,NA,NA,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,340,NA,2,427.543,NA,NA,NA,NA,NA,NA,NA,NA,"Y","","F","E","","W","",1,2,270,20
"18",1,NA,0,148," 15G",15,30,0,3,3,1,0,2,1,65,160,12,NA,160,4,NA,NA,NA,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,42,NA,0,NA,2,852.604,NA,NA,NA,NA,NA,NA,NA,NA,"R","","G","E","","E","",1,1,260,20
"19",1,NA,0,160," 16H",16,23,0,1,0,0,2,11,25,70,180,12,NA,180,2,NA,NA,NA,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,42,NA,0,NA,2,1643.726,NA,NA,NA,NA,NA,NA,NA,NA,"R","","H","E","","E","",1,1,359,20
"20",1,NA,0,153," 17D",17,60,0,3,2,11,25,30,0,43,192,10,NA,998,3,NA,NA,NA,0,0,1,NA,"L","",NA,NA,NA,NA,1,NA,1,NA,NA,42,NA,300,NA,2,26.127,NA,NA,NA,NA,NA,NA,NA,NA,"P","","D","A","","W","",1,1,267,20
"21",1,2,0,150," 18E",18,135,0,2,3,2,3,4,3,-9,151,12,11,151,1,2,NA,NA,0,0,1,NA,"F","L",NA,NA,NA,NA,1,NA,1,NA,NA,61,42,0,330,2,123.291,2,5,11,13,10,5,14,94,"D","P","E","L","A","W","W",1,1,263,20
"22",1,3,0,162," 19F",19,214,1,0,11,18,18,7,0,-98,214,2,7,998,2,NA,NA,NA,0,0,1,NA,"R","B",NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,70,220,2,186.765,NA,NA,NA,NA,NA,NA,NA,NA,"Z","L","F","A","L","W","W",1,2,288,20
"23",1,2,0,161," 20F",20,120,0,0,10,19,11,0,0,-60,305,2,NA,998,2,NA,NA,NA,0,0,1,NA,"R","R",NA,NA,NA,NA,1,NA,1,NA,NA,2,50,70,NA,2,186.765,NA,NA,NA,NA,NA,NA,NA,NA,"Z","9","F","E","9","W","S",1,1,303,20
"24",1,NA,0,157," 20F",20,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150,NA,NA,NA,NA,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,2,186.765,NA,NA,NA,NA,NA,NA,NA,NA,"9","","F","9","","9","",NA,2,279,20
"25",1,NA,0,143," 21H",21,22,0,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,998,2,NA,NA,NA,0,0,1,NA,"R","",NA,NA,NA,NA,1,NA,1,NA,NA,52,NA,80,NA,2,718.036,NA,NA,NA,NA,NA,NA,NA,NA,"Z","","H","A","","N","",0,1,263,20
"26",5,1,0,145," 22D",22,35,1,6,28,57,60,28,0,-29,144,12,12,144,3,1,NA,NA,0,0,1,NA,"F","F",NA,NA,NA,NA,1,NA,1,NA,NA,42,51,0,0,2,57.073,NA,NA,NA,NA,NA,NA,NA,NA,"Y","R","D","E","E","N","N",1,1,274,20
"27",1,NA,0,173," 23G",23,31,0,0,4,20,29,22,3,194,127,9,NA,998,3,NA,NA,NA,0,0,1,NA,"L","",NA,NA,NA,NA,1,NA,1,NA,NA,52,NA,280,NA,2,890.773,NA,NA,NA,NA,NA,NA,NA,NA,"F","","G","E","","N","",1,1,357,20
"28",1,5,0,156," 24J",24,28,1,24,54,47,35,16,5,-28,156,12,0,156,3,3,NA,NA,0,0,1,NA,"F","R",NA,NA,NA,NA,1,NA,1,NA,NA,42,31,0,998,2,51.69,NA,NA,NA,NA,NA,NA,NA,NA,"Y","D","J","E","A","N","O",1,1,273,20
"29",1,2,0,148," 25C",25,15,0,5,4,3,2,2,6,61,134,12,9,134,6,1,NA,NA,0,0,1,NA,"F","B",NA,NA,NA,NA,1,NA,1,NA,NA,2,50,10,260,2,43.642,NA,NA,NA,NA,NA,NA,NA,NA,"R","Y","C","E","L","E","S",1,1,262,20
"30",1,NA,0,144," 25C",25,105,0,7,16,30,37,24,29,21,148,12,NA,148,3,NA,NA,NA,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,350,NA,2,43.642,NA,NA,NA,NA,NA,NA,NA,NA,"D","","C","E","","W","",1,2,248,20
"31",1,2,0,139," 26K",26,61,0,1,3,6,11,12,14,43,146,12,12,146,1,1,NA,NA,0,0,1,NA,"F","R",NA,NA,NA,NA,1,NA,1,NA,NA,1,1,10,0,2,27.268,NA,NA,NA,NA,NA,NA,NA,NA,"Z","Z","K","E","M","W","S",1,2,275,20
"32",4,5,0,157," 27D",27,15,1,0,2,5,10,9,0,39,150,12,0,150,1,2,NA,NA,0,0,1,NA,"F","T",NA,NA,NA,NA,1,NA,1,NA,NA,51,51,0,998,2,26.796,NA,NA,NA,NA,NA,NA,NA,NA,"Z","Y","D","E","R","N","N",1,1,276,20
"33",1,NA,0,148," 28F",28,159,0,2,1,2,2,1,3,0,159,12,NA,159,1,NA,NA,NA,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,2,NA,0,NA,2,209.723,NA,NA,NA,NA,NA,NA,NA,NA,"D","","F","E","","W","",0,1,270,20
"34",1,2,0,152," 28F",28,144,1,11,27,28,33,36,25,0,146,6,12,146,3,3,NA,NA,0,0,1,NA,"B","F",NA,NA,NA,NA,1,NA,1,NA,NA,1,63,180,0,2,209.723,NA,NA,NA,NA,NA,NA,NA,NA,"D","L","F","E","W","W","N",1,2,262,20
"35",1,2,0,150," 29H",29,130,1,NA,NA,NA,NA,NA,NA,NA,NA,12,12,130,1,1,NA,NA,0,0,1,NA,"F","U",NA,NA,NA,NA,1,NA,1,NA,NA,68,88,0,0,2,806.297,NA,NA,NA,NA,NA,NA,NA,NA,"D","D","H","L","D","W","W",1,1,267,20
"36",1,NA,0,154," 30K",30,70,0,28,37,46,30,4,0,-31,150,12,NA,150,6,NA,NA,NA,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,2,NA,0,NA,2,47.431,NA,NA,NA,NA,NA,NA,NA,NA,"Y","","K","A","","W","",1,1,272,20
"37",1,4,0,145," 31D",31,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,150,3,NA,NA,NA,0,0,1,NA,"F","F",NA,NA,NA,NA,1,NA,1,NA,NA,2,42,0,NA,2,49.888,NA,NA,NA,NA,NA,NA,NA,NA,"D","R","D","E","E","W","9",1,1,261,20
"38",1,2,0,146," 31D",31,125,0,21,26,37,44,49,56,-9,140,6,0,140,3,2,NA,NA,0,0,1,NA,"B","R",NA,NA,NA,NA,1,NA,1,NA,NA,1,31,180,998,2,49.888,NA,NA,NA,NA,NA,NA,NA,NA,"D","Y","D","E","A","W","O",1,2,252,20
"39",2,1,0,149," 32F",32,16,1,0,1,1,12,24,6,73,192,9,9,998,3,1,NA,NA,0,0,1,NA,"L","F",NA,NA,NA,NA,1,NA,1,NA,NA,58,58,280,280,2,390.449,0,4,3,5,7,8,32,166,"P","Z","F","A","E","N","W",1,1,269,20
"40",3,2,0,149," 33F",33,20,1,14,13,15,20,8,0,14,144,12,12,144,1,NA,NA,NA,0,0,1,NA,"F","F",NA,NA,NA,NA,1,NA,1,NA,NA,42,42,0,0,2,85.449,NA,NA,NA,NA,NA,NA,NA,NA,"C","L","F","E","9","N","9",1,1,261,20
"41",1,NA,0,145," 34F",34,105,0,19,22,22,13,4,0,-22,137,12,NA,137,2,NA,NA,NA,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,2,NA,0,NA,2,85.449,NA,NA,NA,NA,NA,NA,NA,NA,"D","","F","E","","W","",1,1,261,20
"42",1,NA,0,143," 34F",34,97,0,2,17,33,52,56,59,18,146,6,NA,146,6,NA,2,NA,0,0,2,NA,"B","",5,NA,1,NA,1,NA,NA,NA,NA,1,NA,180,NA,2,85.449,NA,NA,NA,NA,NA,NA,NA,NA,"Z","","F","E","","W","",1,2,244,20
"43",2,NA,0,162," 34F",34,78,0,0,1,1,1,1,0,152,92,12,NA,998,1,NA,NA,NA,0,0,1,NA,"L","",NA,NA,NA,NA,1,NA,1,NA,NA,79,NA,350,NA,2,85.449,NA,NA,NA,NA,NA,NA,NA,NA,"Y","","F","M","","S","",0,3,288,20
"44",2,1,0,175," 35H",35,92,1,0,0,20,16,2,2,-10,412,11,12,998,3,2,NA,NA,0,0,1,NA,"L","F",NA,NA,NA,NA,1,NA,1,NA,NA,51,42,330,0,2,328.515,8,1,1,1,0,0,-82,182,"Z","L","H","A","E","W","E",1,1,357,20
"45",1,NA,0,146," 36K",36,84,0,65,49,38,24,10,0,-30,147,12,NA,147,6,NA,NA,NA,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,2,NA,10,NA,2,26.127,NA,NA,NA,NA,NA,NA,NA,NA,"Y","","K","A","","A","",1,1,251,20
"46",2,3,0,144," 37F",37,NA,1,1,1,2,3,2,4,0,143,12,12,143,1,9,NA,NA,0,0,1,NA,"F","F",NA,NA,NA,NA,1,NA,1,NA,NA,57,42,0,0,2,173.855,NA,NA,NA,NA,NA,NA,NA,NA,"D","R","F","E","E","W","S",1,1,247,20
"47",1,NA,0,150," 38H",38,126,0,2,1,1,1,2,3,9,144,12,NA,144,1,NA,NA,NA,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,0,NA,2,668.402,NA,NA,NA,NA,NA,NA,NA,NA,"D","","H","E","","W","",0,2,272,20
"48",1,NA,0,168," 39E",39,58,0,26,9,8,4,2,1,-50,160,12,NA,160,2,NA,NA,NA,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,2,NA,0,NA,2,86.008,NA,NA,NA,NA,NA,NA,NA,NA,"Y","","E","E","","W","",1,1,300,20
"49",1,NA,0,160," 39E",39,78,0,9,18,35,23,10,0,-34,158,12,NA,158,2,NA,NA,NA,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,0,NA,2,86.008,NA,NA,NA,NA,NA,NA,NA,NA,"Y","","E","E","","W","",1,2,305,20
"50",2,1,0,158," 40F",40,152,0,0,0,0,1,2,6,0,152,12,12,152,1,4,NA,NA,0,0,1,NA,"F","F",NA,NA,NA,NA,1,NA,1,NA,NA,61,51,0,0,2,132.208,NA,NA,NA,NA,NA,NA,NA,NA,"D","L","F","L","E","W","S",1,1,287,20
"51",1,NA,0,157," 42C",42,22,0,1,0,0,0,0,0,-75,177,12,NA,177,1,NA,NA,NA,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,60,NA,350,NA,2,44.282,NA,NA,NA,NA,NA,NA,NA,NA,"L","","C","L","","E","",0,1,270,20
"52",1,2,0,147," 45K",45,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,998,2,3,NA,NA,0,0,1,NA,"R","T",NA,NA,NA,NA,1,NA,1,NA,NA,31,68,998,998,2,51.865,NA,NA,NA,NA,NA,NA,NA,NA,"D","P","K","A","Y","O","N",1,1,320,20
"53",1,2,0,155," 46C",46,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,12,12,152,NA,9,NA,NA,0,0,1,NA,"F","F",NA,NA,NA,NA,1,NA,1,NA,NA,46,46,0,0,2,45.767,NA,NA,NA,NA,NA,NA,NA,NA,"R","R","C","E","E","E","S",NA,1,280,20
"54",1,NA,0,173," 47K",47,179,0,44,30,30,25,27,32,0,188,1,NA,188,2,NA,NA,NA,0,0,1,NA,"F","",NA,NA,NA,NA,2,NA,1,NA,NA,2,NA,30,NA,2,28.596,NA,NA,NA,NA,NA,NA,NA,NA,"D","","K","E","","W","",1,1,352,20
"55",1,NA,0,NA," 47K",47,250,0,0,40,29,31,27,0,41,330,10,NA,998,3,NA,4,NA,0,0,2,NA,"L","",5,NA,1,NA,1,NA,3,NA,NA,1,NA,310,NA,2,28.596,NA,NA,NA,NA,NA,NA,NA,NA,"D","","K","A","","W","",1,2,334,20
"56",1,2,0,157," 48E",48,183,0,16,17,27,18,6,0,-147,219,3,9,998,3,1,NA,NA,0,0,1,NA,"R","L",NA,NA,NA,NA,1,NA,1,NA,NA,2,57,80,280,2,82.176,NA,NA,NA,NA,NA,NA,NA,NA,"Z","P","E","A","E","W","W",1,1,276,20
"57",1,2,0,154," 49F",49,165,0,0,23,75,55,29,0,8,300,2,8,998,5,1,NA,NA,0,0,1,NA,"R","L",NA,NA,NA,NA,1,NA,1,NA,NA,2,52,70,240,2,126.319,NA,NA,NA,NA,NA,NA,NA,NA,"P","P","F","E","M","W","W",1,1,272,20
"58",1,NA,0,148," 49F",49,146,0,22,21,23,26,27,33,0,146,11,NA,146,2,NA,NA,NA,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,340,NA,2,126.319,NA,NA,NA,NA,NA,NA,NA,NA,"D","","F","E","","W","",1,2,257,20
"59",1,NA,0,148," 50G",50,55,0,10,2,11,3,3,13,-13,142,12,NA,142,2,NA,NA,NA,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,76,NA,0,NA,2,251.905,NA,NA,NA,NA,NA,NA,NA,NA,"Y","","G","E","","W","",0,1,260,20
"60",1,NA,0,158," 51E",51,191,0,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,998,2,NA,NA,NA,0,0,1,NA,"L","",NA,NA,NA,NA,1,NA,1,NA,NA,2,NA,310,NA,2,166.393,NA,NA,NA,NA,NA,NA,NA,NA,"Y","","E","E","","W","",1,1,280,20
"61",1,NA,0,152," 51E",51,146,0,39,41,18,12,9,5,0,146,12,NA,146,2,NA,NA,NA,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,10,NA,2,166.393,NA,NA,NA,NA,NA,NA,NA,NA,"D","","E","E","","W","",1,2,270,20
"62",1,NA,0,149," 53H",53,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,998,NA,NA,NA,NA,0,0,NA,NA,"9","",NA,NA,NA,NA,1,NA,NA,NA,NA,76,NA,NA,NA,2,983.343,NA,NA,NA,NA,NA,NA,NA,NA,"9","","H","9","","9","",NA,1,252,20
"63",2,1,0,162," 54K",54,46,0,15,28,17,9,4,4,-53,160,12,12,160,2,NA,NA,NA,0,0,1,NA,"F","F",NA,NA,NA,NA,1,NA,1,NA,NA,2,46,0,0,2,86.482,NA,NA,NA,NA,NA,NA,NA,NA,"L","L","K","E","E","W","9",1,1,307,20
"64",2,NA,0,148," 54K",54,141,0,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,998,2,NA,NA,NA,0,0,1,NA,"L","",NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,340,NA,2,86.482,NA,NA,NA,NA,NA,NA,NA,NA,"Z","","K","E","","W","",1,2,252,20
"65",1,NA,0,150," 55D",55,250,0,0,4,8,6,5,0,33,345,12,NA,998,1,NA,NA,NA,0,0,1,NA,"R","",NA,NA,NA,NA,1,NA,1,NA,NA,2,NA,10,NA,2,47.431,NA,NA,NA,NA,NA,NA,NA,NA,"D","","D","E","","S","",0,1,251,20
"66",2,1,0,142," 55D",55,250,0,NA,NA,NA,NA,NA,NA,NA,NA,0,12,998,3,2,NA,NA,0,0,1,NA,"T","F",NA,NA,NA,NA,1,NA,1,NA,NA,31,1,998,0,2,47.431,0,3,7,10,12,8,50,140,"Y","R","D","D","E","O","E",1,2,263,20
"67",1,NA,0,149," 56G",56,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,998,NA,NA,NA,NA,0,0,1,NA,"R","",NA,NA,NA,NA,1,NA,1,NA,NA,2,NA,NA,NA,2,457.702,NA,NA,NA,NA,NA,NA,NA,NA,"9","","G","E","","9","",NA,1,254,20
"68",1,NA,0,153," 56G",56,33,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,156,NA,NA,NA,NA,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,2,457.702,NA,NA,NA,NA,NA,NA,NA,NA,"R","","G","E","","E","",0,2,270,20
"69",1,2,0,146," 57F",57,18,0,NA,NA,NA,NA,NA,NA,NA,NA,10,8,998,NA,1,NA,NA,0,0,1,NA,"L","L",NA,NA,NA,NA,1,NA,1,NA,NA,42,61,300,250,2,145.186,NA,NA,NA,NA,NA,NA,NA,NA,"F","B","F","E","L","N","W",0,1,256,20
"70",1,NA,0,146," 58G",58,93,0,0,1,0,2,3,0,127,109,9,NA,998,1,NA,NA,NA,0,0,1,NA,"L","",NA,NA,NA,NA,1,NA,1,NA,NA,2,NA,280,NA,2,289.53,NA,NA,NA,NA,NA,NA,NA,NA,"Y","","G","E","","W","",1,1,246,20
"71",1,NA,0,149," 58G",58,113,0,12,11,12,11,10,11,-17,146,12,NA,146,1,NA,NA,NA,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,0,NA,2,289.53,NA,NA,NA,NA,NA,NA,NA,NA,"D","","G","E","","W","",1,2,261,20
"72",4,2,0,157," 59H",59,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,12,12,154,9,2,NA,NA,0,0,1,NA,"F","F",NA,NA,NA,NA,1,NA,1,NA,NA,63,53,0,0,2,558.181,NA,NA,NA,NA,NA,NA,NA,NA,"R","R","H","W","L","N","S",1,1,287,20
"73",1,NA,0,153," 60E",60,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,156,NA,NA,NA,NA,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,2,NA,0,NA,2,140.425,NA,NA,NA,NA,NA,NA,NA,NA,"9","","E","9","","9","",NA,1,270,20
"74",1,2,0,162," 60E",60,165,0,0,3,1,7,13,7,156,165,10,3,998,2,1,NA,NA,0,0,1,NA,"L","R",NA,NA,NA,NA,1,NA,1,NA,NA,1,3,290,90,2,140.425,NA,NA,NA,NA,NA,NA,NA,NA,"Y","F","E","E","E","W","W",1,2,290,20
"75",1,NA,0,157," 61F",61,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,998,NA,NA,NA,NA,0,0,NA,NA,"9","",NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,2,215.857,NA,NA,NA,NA,NA,NA,NA,NA,"9","","F","9","","9","",NA,1,277,20
"76",2,1,0,145," 62H",62,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,12,12,143,4,3,NA,NA,0,0,1,NA,"F","F",NA,NA,NA,NA,1,NA,1,NA,NA,68,68,0,0,2,829.882,NA,NA,NA,NA,NA,NA,NA,NA,"R","R","H","W","W","N","N",1,1,247,20
"77",1,NA,0,147," 63F",63,120,0,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,162,1,NA,NA,NA,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,2,NA,0,NA,2,35.417,NA,NA,NA,NA,NA,NA,NA,NA,"D","","F","E","","W","",1,1,266,20
"78",1,NA,0,144," 63F",63,132,0,6,5,5,4,3,3,-7,157,6,NA,157,1,NA,NA,NA,0,0,1,NA,"B","",NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,180,NA,2,35.417,NA,NA,NA,NA,NA,NA,NA,NA,"D","","F","E","","W","",0,2,250,20
"79",1,NA,0,150," 64H",64,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,142,NA,NA,NA,NA,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,2,NA,NA,NA,2,136.165,NA,NA,NA,NA,NA,NA,NA,NA,"9","","H","9","","9","",NA,1,251,20
"80",1,NA,0,152," 66E",66,25,0,2,0,0,0,0,0,-63,150,12,NA,150,5,NA,NA,NA,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,0,NA,2,73.94,NA,NA,NA,NA,NA,NA,NA,NA,"L","","E","E","","E","",1,2,263,20
"81",1,NA,0,182," 67F",67,42,0,0,0,5,13,26,71,71,184,12,NA,184,3,NA,NA,NA,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,42,NA,0,NA,2,56.929,NA,NA,NA,NA,NA,NA,NA,NA,"R","","F","E","","W","",1,1,338,20
"82",2,1,0,151," 68F",68,149,1,2,3,2,2,3,2,0,149,12,12,149,1,3,NA,NA,0,0,1,NA,"F","F",NA,NA,NA,NA,1,NA,1,NA,NA,61,60,0,0,2,56.929,NA,NA,NA,NA,NA,NA,NA,NA,"D","R","F","L","W","W","N",NA,1,270,20
"83",1,2,0,139," 69K",69,168,0,0,27,38,8,8,0,97,384,1,12,998,6,1,NA,NA,0,0,1,NA,"R","R",NA,NA,NA,NA,1,NA,1,NA,NA,52,50,30,0,2,26.127,NA,NA,NA,NA,NA,NA,NA,NA,"Y","B","K","A","E","W","S",1,1,265,20
