"","AAIS","AAIS08","AINJSER","AINJSER8","AINJURED","AINJURD8","ALCINV","ATREAT","CASEID","CASENO","DAYWEEK","DRGINV","EVENTS","MANCOLL","MONTH","PSU","PSUSTRAT","RATWGT","STRATIF","TIME","VEHFORMS","YEAR","VERSION","ADMINSS"
"1",0,0,0,0,0,0,2,0,"  1H",1,6,2,1,0,1,2,3,282.755,"H",825,1,2013,26,0
"2",NA,NA,NA,NA,NA,NA,2,NA,"  2F",2,4,2,1,1,1,2,3,238.166,"F",927,2,2013,26,0
"3",0,0,0,0,0,0,2,0,"  3G",3,4,2,1,0,1,2,3,237.38,"G",2342,1,2013,26,0
"4",0,0,0,0,0,0,2,0,"  4H",4,5,2,1,5,1,2,3,653.983,"H",715,2,2013,26,0
"5",1,1,0,0,1,1,2,4,"  5E",5,6,2,1,0,1,2,3,82.47,"E",1805,1,2013,26,0
"6",NA,NA,NA,NA,NA,NA,2,NA,"  6F",6,5,2,1,0,1,2,3,353.414,"F",129,1,2013,26,0
"7",0,0,0,0,0,0,1,0,"  7H",7,1,NA,1,1,1,2,3,782.728,"H",1315,2,2013,26,0
"8",NA,NA,NA,NA,NA,NA,2,NA,"  8D",8,4,2,1,0,1,2,3,83.761,"D",628,1,2013,26,0
"9",1,1,0,0,1,1,2,6,"  9G",9,3,2,2,6,1,2,3,789.967,"G",1752,2,2013,26,0
"10",3,3,1,1,1,1,2,3," 10K",10,6,2,1,2,1,2,3,56.023,"K",1717,2,2013,26,0
"11",1,1,0,0,2,2,2,4," 11F",11,3,2,1,1,1,2,3,344.576,"F",1610,2,2013,26,0
"12",NA,NA,NA,NA,NA,NA,2,NA," 12F",12,1,2,1,0,1,2,3,344.576,"F",236,1,2013,26,0
"13",NA,NA,NA,NA,NA,NA,2,NA," 13F",13,3,2,1,0,2,2,3,324.193,"F",1502,1,2013,26,0
"14",NA,NA,NA,NA,NA,NA,2,NA," 14H",14,2,2,1,0,2,2,3,718.011,"H",1056,1,2013,26,0
"15",NA,NA,NA,NA,NA,NA,2,NA," 15F",15,4,2,1,4,1,2,3,198.647,"F",1810,2,2013,26,0
