"","ACCSEQ1","ACCSEQ2","ALTVEH","ORIGAVTW","CASEID","CASENO","DIRDAMW","DOCCDC","DVC1","DVC2","DVC3","DVC4","DVC5","DVC6","DVD","DVL","DOF1","DOF2","UNDENDW","EXTENT1","EXTENT2","FUELCAP1","FUELCAP2","FUELPRE1","FUELPRE2","FIRE","FIREORIG","FUELDAM1","FUELDAM2","GAD1","GAD2","FUELLOC1","FUELLOC2","FUELTNK1","FUELTNK2","FUELTYP1","FUELTYP2","FUELEAK1","FUELEAK2","FUELGT2","OBJCONT1","OBJCONT2","PDOF1","PDOF2","PSU","RATWGT","SDVC1","SDVC2","SDVC3","SDVC4","SDVC5","SDVC6","SDVD","SDVL","SHL1","SHL2","STRATIF","SVL1","SVL2","TDD1","TDD2","VEHNO","WHEELBAS","VERSION"
"1",1,2,0,154,"  1H",1,85,0,6,6,6,5,5,6,16,158,9,9,158,1,1,NA,NA,NA,0,0,0,1,NA,"F","L",NA,NA,NA,NA,1,NA,1,NA,NA,48,48,280,260,2,322.799,2,2,2,1,2,1,-117,131,"Z","Z","H","E","E","W","W",1,267,24
"2",1,2,0,148,"  2D",2,35,0,0,17,33,11,2,1,146,130,9,0,998,3,2,NA,NA,NA,0,0,0,1,NA,"L","R",NA,NA,NA,NA,1,NA,1,NA,NA,52,31,270,998,2,76.812,NA,NA,NA,NA,NA,NA,NA,NA,"F","D","D","E","A","N","O",1,269,24
"3",1,NA,0,146,"  3F",3,28,0,0,2,14,30,5,0,6,136,12,NA,136,2,NA,NA,NA,NA,0,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,42,NA,0,NA,2,259.39,NA,NA,NA,NA,NA,NA,NA,NA,"C","","F","E","","N","",1,252,24
"4",1,NA,0,158,"  5K",5,250,0,0,0,8,11,8,3,-19,287,11,NA,998,1,NA,NA,NA,NA,0,0,0,1,NA,"L","",NA,NA,NA,NA,1,NA,1,NA,NA,2,NA,340,NA,2,42.128,NA,NA,NA,NA,NA,NA,NA,NA,"D","","K","E","","W","",1,287,24
"5",1,3,0,152,"  5K",5,25,1,41,27,23,15,6,2,-57,144,12,0,144,5,3,NA,NA,NA,0,0,0,1,NA,"F","T",NA,NA,NA,NA,1,NA,1,NA,NA,1,31,350,998,2,42.128,NA,NA,NA,NA,NA,NA,NA,NA,"L","Y","K","E","D","E","O",2,270,24
"6",2,1,0,153,"  6E",6,35,0,0,0,4,18,15,5,186,116,11,12,998,2,NA,NA,NA,NA,0,0,0,1,NA,"L","F",NA,NA,NA,NA,1,NA,1,NA,NA,51,57,330,0,2,243.488,2,0,0,0,0,0,-75,160,"F","9","E","E","9","N","9",1,275,24
"7",1,2,0,157,"  7H",7,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,998,NA,NA,NA,NA,NA,0,0,0,NA,NA,"9","9",NA,NA,NA,NA,1,NA,NA,NA,NA,49,50,NA,NA,2,1131.514,NA,NA,NA,NA,NA,NA,NA,NA,"9","9","H","9","9","9","9",1,272,24
"8",1,NA,0,153," 10H",10,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,998,NA,NA,NA,NA,NA,0,0,0,1,NA,"R","",NA,NA,NA,NA,1,NA,1,NA,NA,2,NA,NA,NA,2,419.772,NA,NA,NA,NA,NA,NA,NA,NA,"9","","H","9","","9","",1,262,24
"9",1,NA,0,157," 11H",11,250,0,0,1,4,9,7,2,63,291,12,NA,998,2,NA,NA,NA,NA,0,0,0,1,NA,"L","",NA,NA,NA,NA,1,NA,1,NA,NA,48,NA,350,NA,2,419.772,NA,NA,NA,NA,NA,NA,NA,NA,"Y","","H","A","","S","",1,287,24
"10",2,NA,0,174," 11H",11,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,184,6,NA,NA,NA,NA,0,0,0,1,NA,"F","",NA,NA,NA,NA,2,NA,1,NA,NA,79,NA,350,NA,2,419.772,NA,NA,NA,NA,NA,NA,NA,NA,"D","","H","H","","W","",2,438,24
"11",1,NA,0,164," 12D",12,37,0,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,152,2,NA,NA,NA,NA,0,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,2,NA,30,NA,2,42.128,NA,NA,NA,NA,NA,NA,NA,NA,"L","","D","E","","E","",1,291,24
"12",2,1,0,143," 12D",12,94,0,11,12,15,19,12,10,-13,160,12,12,160,1,9,NA,NA,NA,0,0,0,1,NA,"F","F",NA,NA,NA,NA,1,NA,1,NA,NA,88,1,0,0,2,42.128,NA,NA,NA,NA,NA,NA,NA,NA,"D","L","D","E","E","W","S",2,254,24
"13",1,NA,0,173," 13G",13,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,998,NA,NA,NA,NA,NA,0,0,0,1,NA,"9","",NA,NA,NA,NA,1,NA,1,NA,NA,76,NA,NA,NA,2,277.118,NA,NA,NA,NA,NA,NA,NA,NA,"9","","G","9","","9","",1,364,24
"14",2,NA,0,142," 15H",15,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,150,1,NA,NA,NA,NA,0,0,0,1,NA,"B","",NA,NA,NA,NA,1,NA,1,NA,NA,2,NA,180,NA,2,256.096,NA,NA,NA,NA,NA,NA,NA,NA,"9","","H","9","","U","",3,272,24
"15",1,NA,0,154," 16D",16,90,0,7,16,21,4,0,0,-15,152,11,NA,152,1,NA,NA,NA,NA,0,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,2,NA,330,NA,2,76.812,NA,NA,NA,NA,NA,NA,NA,NA,"D","","D","E","","W","",1,269,24
"16",1,NA,0,147," 16D",16,55,0,1,1,4,9,11,26,48,154,12,NA,154,1,NA,NA,NA,NA,0,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,10,NA,2,76.812,NA,NA,NA,NA,NA,NA,NA,NA,"Z","","D","E","","W","",2,266,24
"17",1,2,0,151," 17D",17,75,0,5,3,3,3,3,3,-8,148,12,12,148,1,NA,NA,NA,NA,0,0,0,1,NA,"F","F",NA,NA,NA,NA,1,NA,1,NA,NA,88,50,0,0,2,51.736,NA,NA,NA,NA,NA,NA,NA,NA,"D","L","D","L","L","W","N",1,272,24
"18",2,1,0,162," 19D",19,12,0,10,5,2,0,0,0,-84,180,12,12,180,9,NA,NA,NA,NA,0,0,0,1,NA,"F","F",NA,NA,NA,NA,1,NA,1,NA,NA,42,50,0,0,2,23.206,NA,NA,NA,NA,NA,NA,NA,NA,"L","9","D","A","9","S","9",1,334,24
"19",1,NA,0,147," 20F",20,70,0,0,7,12,15,18,19,39,148,12,NA,148,2,NA,NA,NA,NA,NA,0,0,1,1,"F","",NA,NA,NA,NA,1,15,1,1,NA,1,NA,350,NA,2,64.5,NA,NA,NA,NA,NA,NA,NA,NA,"Z","","F","E","","W","",2,270,24
"20",1,NA,0,155," 21H",21,48,0,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,158,NA,NA,NA,NA,NA,0,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,340,NA,2,101.382,NA,NA,NA,NA,NA,NA,NA,NA,"L","","H","E","","W","",2,274,24
"21",1,NA,0,147," 22E",22,143,0,28,41,43,43,40,31,0,143,46,NA,143,6,NA,NA,NA,NA,0,0,0,1,NA,"B","",NA,NA,NA,NA,1,NA,1,NA,NA,2,NA,180,NA,2,89.927,NA,NA,NA,NA,NA,NA,NA,NA,"D","","E","E","","W","",1,267,24
"22",2,1,0,170," 23E",23,87,0,0,1,17,21,16,10,0,172,12,12,172,1,NA,NA,NA,NA,0,0,0,1,NA,"F","F",NA,NA,NA,NA,1,NA,1,NA,NA,44,88,0,0,2,89.927,NA,NA,NA,NA,NA,NA,NA,NA,"D","D","E","E","9","W","W",1,302,24
"23",1,NA,0,148," 24G",24,102,0,3,2,2,2,1,1,12,138,12,NA,138,1,NA,NA,NA,NA,0,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,76,NA,0,NA,2,452.203,NA,NA,NA,NA,NA,NA,NA,NA,"D","","G","E","","W","",1,260,24
"24",1,NA,0,168," 25H",25,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,2,NA,NA,NA,2,417.899,NA,NA,NA,NA,NA,NA,NA,NA,"9","","H","9","","9","",1,300,24
"25",1,NA,0,147," 25H",25,124,0,17,3,6,8,11,18,0,124,6,NA,124,1,NA,NA,NA,NA,0,0,0,1,NA,"B","",NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,180,NA,2,417.899,NA,NA,NA,NA,NA,NA,NA,NA,"D","","H","E","","W","",2,237,24
"26",1,1,0,157," 26B",26,115,0,83,60,59,63,52,13,0,150,12,12,150,5,NA,NA,NA,NA,0,0,0,1,NA,"F","L",NA,NA,NA,NA,1,NA,1,NA,NA,2,2,10,0,2,46.648,NA,NA,NA,NA,NA,NA,NA,NA,"D","Y","B","E","A","K","W",1,279,24
"27",1,2,0,157," 28D",28,203,0,0,28,59,64,26,0,45,357,63,3,998,6,1,NA,NA,NA,0,0,0,1,NA,"R","R",NA,NA,NA,NA,1,NA,1,NA,NA,2,2,100,90,2,91.135,NA,NA,NA,NA,NA,NA,NA,NA,"Y","B","D","A","E","W","W",1,287,24
"28",1,2,0,154," 28D",28,160,0,4,3,18,20,5,9,0,160,12,9,160,1,1,NA,NA,NA,0,0,0,1,NA,"F","L",NA,NA,NA,NA,1,NA,1,NA,NA,1,1,350,270,2,91.135,0,2,2,2,7,1,113,209,"D","Y","D","E","E","W","W",2,262,24
"29",4,2,0,161," 29H",29,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,12,998,2,1,NA,NA,NA,0,0,0,1,NA,"L","F",NA,NA,NA,NA,1,NA,1,NA,NA,31,48,998,0,2,1532.516,0,0,0,1,1,1,57,168,"D","R","H","A","L","O","W",1,325,24
"30",1,NA,0,154," 30B",30,31,0,20,5,5,5,4,3,-45,153,0,NA,153,7,NA,NA,NA,NA,0,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,42,NA,998,NA,2,46.648,NA,NA,NA,NA,NA,NA,NA,NA,"L","","B","A","","E","",1,262,24
"31",2,1,0,172," 31B",31,3,0,27,10,7,2,0,0,-88,182,12,12,182,7,3,NA,NA,NA,0,0,0,1,NA,"F","F",NA,NA,NA,NA,1,NA,1,NA,NA,42,88,350,0,2,46.648,NA,NA,NA,NA,NA,NA,NA,NA,"L","L","B","A","W","E","N",1,355,24
"32",2,3,0,149," 32D",32,250,1,0,2,10,4,2,0,-15,252,12,3,998,1,1,NA,NA,NA,0,0,0,1,NA,"L","R",NA,NA,NA,NA,1,NA,1,NA,NA,64,64,350,80,2,78.715,1,5,2,0,0,0,-116,121,"Z","B","D","E","E","S","W",1,262,24
"33",1,NA,0,149," 33F",33,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,6,NA,NA,NA,NA,0,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,2,NA,0,NA,2,77.89,NA,NA,NA,NA,NA,NA,NA,NA,"L","","F","G","","S","",1,261,24
"34",3,1,0,144," 33F",33,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,12,998,2,6,NA,NA,NA,0,0,0,1,NA,"U","F",NA,NA,NA,NA,1,NA,1,NA,NA,68,1,998,0,2,77.89,NA,NA,NA,NA,NA,NA,NA,NA,"F","L","F","D","G","W","S",2,250,24
"35",1,NA,0,156," 34G",34,196,0,0,3,1,1,0,0,-25,210,10,NA,998,2,NA,NA,NA,NA,0,0,0,1,NA,"L","",NA,NA,NA,NA,1,NA,1,NA,NA,76,NA,300,NA,2,132.478,NA,NA,NA,NA,NA,NA,NA,NA,"P","","G","A","","W","",1,262,24
