"","ACCSEQ1","ACCSEQ2","ALTVEH","ORIGAVTW","CASEID","CASENO","DIRDAMW","DOCCDC","DVC1","DVC2","DVC3","DVC4","DVC5","DVC6","DVD","DVL","DOF1","DOF2","UNDENDW","EXTENT1","EXTENT2","FUELCAP1","FUELCAP2","FIRE","FIREORIG","FUELDAM1","FUELDAM2","GAD1","GAD2","FUELLOC1","FUELLOC2","FUELTNK1","FUELTNK2","FUELTYP1","FUELTYP2","FUELEAK1","FUELEAK2","FUELGT2","OBJCONT1","OBJCONT2","PDOF1","PDOF2","PSU","RATWGT","SDVC1","SDVC2","SDVC3","SDVC4","SDVC5","SDVC6","SDVD","SDVL","SHL1","SHL2","STRATIF","SVL1","SVL2","TDD1","TDD2","TOWRES","VEHNO","WHEELBAS","VERSION"
"1",1,2,0,157,"  2G",2,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,998,2,NA,NA,NA,0,0,1,NA,"R","B",NA,NA,NA,NA,1,NA,1,NA,NA,31,53,998,998,2,3018.549,NA,NA,NA,NA,NA,NA,NA,NA,"D","D","G","A","G","O","N",0,1,285,19
"2",1,NA,0,147,"  3J",3,64,0,1,2,4,4,7,1,155,104,7,NA,998,1,NA,NA,NA,0,0,1,NA,"L","",NA,NA,NA,NA,1,NA,1,NA,NA,2,NA,200,NA,2,89.024,NA,NA,NA,NA,NA,NA,NA,NA,"F","","J","E","","W","",1,1,253,19
"3",2,1,0,163,"  3J",3,53,0,0,8,20,54,13,4,22,278,89,12,998,3,4,NA,NA,0,0,1,NA,"L","F",NA,NA,NA,NA,1,NA,1,NA,NA,42,1,280,0,2,89.024,17,11,6,3,2,6,-62,153,"P","R","J","A","E","W","S",1,2,291,19
"4",1,NA,0,147,"  4H",4,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,6,NA,NA,NA,0,0,NA,NA,"F","",NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,10,NA,2,4132.664,NA,NA,NA,NA,NA,NA,NA,NA,"R","","H","E","","S","",1,1,255,19
"5",1,NA,0,151,"  4H",4,39,0,0,0,2,6,13,25,53,152,12,NA,152,4,NA,NA,NA,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,0,NA,2,4132.664,NA,NA,NA,NA,NA,NA,NA,NA,"R","","H","E","","E","",1,2,272,19
"6",1,NA,0,150,"  6K",6,113,0,1,1,3,22,16,5,166,246,9,NA,998,2,NA,NA,NA,0,0,1,NA,"L","",NA,NA,NA,NA,1,NA,1,NA,NA,42,NA,280,NA,2,56.458,NA,NA,NA,NA,NA,NA,NA,NA,"F","","K","E","","W","",1,1,265,19
"7",1,NA,0,148,"  7H",7,36,0,0,0,0,0,0,1,-52,138,12,NA,138,2,NA,NA,NA,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,2,NA,10,NA,2,1154.854,NA,NA,NA,NA,NA,NA,NA,NA,"R","","H","E","","E","",0,1,262,19
"8",1,NA,0,148,"  7H",7,62,0,0,4,8,8,4,0,95,94,7,NA,998,1,NA,NA,NA,0,0,1,NA,"L","",NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,210,NA,2,1154.854,NA,NA,NA,NA,NA,NA,NA,NA,"Y","","H","M","","W","",0,2,262,19
"9",3,1,0,148,"  8E",8,67,1,NA,NA,NA,NA,NA,NA,NA,NA,0,6,998,3,2,NA,NA,0,0,1,NA,"T","B",NA,NA,NA,NA,1,NA,1,NA,NA,31,42,998,180,2,411.365,0,0,6,11,0,0,10,143,"D","C","E","D","E","O","N",1,1,252,19
"10",5,6,0,143," 10D",10,31,1,4,8,34,36,14,11,-51,172,3,0,998,3,2,2,NA,0,0,2,NA,"R","T",4,NA,2,NA,1,NA,1,NA,NA,51,42,90,998,2,164.851,NA,NA,NA,NA,NA,NA,NA,NA,"P","F","D","A","D","N","N",1,1,260,19
