"","ACCSEQ1","ACCSEQ2","ALTVEH","ORIGAVTW","CASEID","CASENO","DIRDAMW","DOCCDC","DVC1","DVC2","DVC3","DVC4","DVC5","DVC6","DVD","DVL","DOF1","DOF2","UNDENDW","EXTENT1","EXTENT2","FUELCAP1","FUELCAP2","FIRE","FIREORIG","FUELDAM1","FUELDAM2","GAD1","GAD2","FUELLOC1","FUELLOC2","FUELTNK1","FUELTNK2","FUELTYP1","FUELTYP2","FUELEAK1","FUELEAK2","FUELGT2","OBJCONT1","OBJCONT2","PDOF1","PDOF2","PSU","RATWGT","SDVC1","SDVC2","SDVC3","SDVC4","SDVC5","SDVC6","SDVD","SDVL","SHL1","SHL2","STRATIF","SVL1","SVL2","TDD1","TDD2","TOWRES","VEHNO","WHEELBAS","VERSION"
"1868",1,2,0,158," 92K",92,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,9,3,998,3,2,NA,NA,0,0,1,NA,"L","R",NA,NA,NA,NA,1,NA,1,NA,NA,2,44,280,90,12,315.986,NA,NA,NA,NA,NA,NA,NA,NA,"P","B","K","A","L","W","N",0,1,277,20
"1869",1,NA,0,159," 92K",92,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,160,1,NA,NA,NA,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,20,NA,12,315.986,NA,NA,NA,NA,NA,NA,NA,NA,"D","","K","E","","W","",0,2,305,20
"1870",1,2,0,157," 93E",93,134,0,10,10,13,13,11,15,0,150,70,10,150,1,1,NA,NA,0,0,1,NA,"F","L",NA,NA,NA,NA,1,NA,1,NA,NA,60,60,300,290,12,94.65,0,1,3,4,0,0,-206,115,"D","B","E","E","E","W","W",1,1,275,20
"1871",1,2,0,148," 94F",94,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,137,4,3,NA,NA,0,0,1,NA,"F","T",NA,NA,NA,NA,1,NA,1,NA,NA,60,31,998,998,12,189.578,NA,NA,NA,NA,NA,NA,NA,NA,"L","D","F","W","D","N","O",1,1,267,20
"1872",1,NA,0,157," 95G",95,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,152,NA,NA,NA,NA,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,76,NA,NA,NA,12,441.945,NA,NA,NA,NA,NA,NA,NA,NA,"9","","G","9","","9","",0,1,286,20
"1873",1,NA,0,155," 96H",96,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,998,NA,NA,3,NA,0,0,NA,NA,"L","",NA,NA,2,NA,1,NA,NA,NA,NA,2,NA,NA,NA,12,485.979,NA,NA,NA,NA,NA,NA,NA,NA,"9","","H","9","","9","",NA,1,289,20
"1874",2,1,0,142," 96H",96,115,0,NA,NA,NA,NA,NA,NA,NA,NA,0,3,998,2,2,NA,NA,0,0,1,NA,"T","R",NA,NA,NA,NA,1,NA,1,NA,NA,31,1,998,80,12,485.979,13,13,11,9,5,2,-193,137,"D","B","H","Y","E","O","W",1,2,275,20
"1875",1,2,0,156," 97K",97,66,0,25,15,9,5,3,0,-31,158,1,NA,158,2,NA,NA,NA,0,0,1,NA,"F","R",NA,NA,NA,NA,1,NA,1,NA,NA,54,NA,20,NA,12,23.798,NA,NA,NA,NA,NA,NA,NA,NA,"Y","D","K","E","E","W","9",1,1,281,20
"1876",2,1,0,170," 98K",98,90,0,NA,NA,NA,NA,NA,NA,NA,NA,0,3,998,2,2,NA,NA,0,0,1,NA,"T","R",NA,NA,NA,NA,1,NA,1,NA,NA,31,2,998,100,12,23.798,0,25,21,17,3,0,-32,207,"P","Z","K","D","E","O","W",1,1,389,20
"1877",1,NA,0,165," 98K",98,138,0,8,7,10,0,3,2,-17,175,12,NA,175,1,NA,NA,NA,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,350,NA,12,23.798,NA,NA,NA,NA,NA,NA,NA,NA,"D","","K","E","","W","",1,2,282,20
