"","ACCSEQ1","ACCSEQ2","ALTVEH","ORIGAVTW","CASEID","CASENO","DIRDAMW","DOCCDC","DVC1","DVC2","DVC3","DVC4","DVC5","DVC6","DVD","DVL","DOF1","DOF2","UNDENDW","EXTENT1","EXTENT2","FUELCAP1","FUELCAP2","FIRE","FIREORIG","FUELDAM1","FUELDAM2","GAD1","GAD2","FUELLOC1","FUELLOC2","FUELTNK1","FUELTNK2","FUELTYP1","FUELTYP2","FUELEAK1","FUELEAK2","FUELGT2","OBJCONT1","OBJCONT2","PDOF1","PDOF2","PSU","RATWGT","SDVC1","SDVC2","SDVC3","SDVC4","SDVC5","SDVC6","SDVD","SDVL","SHL1","SHL2","STRATIF","SVL1","SVL2","TDD1","TDD2","TOWRES","VEHNO","WHEELBAS","VERSION"
"1",1,NA,0,162,"  1F",1,34,0,31,39,51,79,77,11,-74,96,3,NA,998,4,NA,5,NA,0,0,2,NA,"R","",6,NA,1,NA,1,NA,1,NA,NA,52,NA,80,NA,2,49.947,NA,NA,NA,NA,NA,NA,NA,NA,"B","","F","E","","N","",1,1,298,22
"2",1,NA,0,154,"  3H",3,32,0,9,13,9,7,1,9,-55,177,12,NA,177,2,NA,NA,NA,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,42,NA,350,NA,2,1054.22,NA,NA,NA,NA,NA,NA,NA,NA,"L","","H","E","","E","",1,1,270,22
"3",1,NA,0,140,"  4E",4,125,0,3,2,3,4,5,8,-3,147,1,NA,147,1,NA,NA,NA,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,2,NA,20,NA,2,88.313,NA,NA,NA,NA,NA,NA,NA,NA,"D","","E","L","","W","",0,1,220,22
"4",1,NA,0,158,"  4E",4,160,0,0,6,17,10,5,0,-39,234,10,NA,998,2,NA,NA,NA,0,0,1,NA,"L","",NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,290,NA,2,88.313,NA,NA,NA,NA,NA,NA,NA,NA,"P","","E","E","","W","",1,2,280,22
"5",2,1,0,147,"  5F",5,34,0,0,3,10,23,14,2,18,148,12,12,148,1,3,NA,NA,0,0,1,NA,"F","F",NA,NA,NA,NA,1,NA,1,NA,NA,45,63,0,0,2,240.743,NA,NA,NA,NA,NA,NA,NA,NA,"Z","R","F","E","W","N","N",1,1,258,22
"6",1,NA,0,148,"  6H",6,123,0,0,3,4,3,2,0,12,148,12,NA,148,1,NA,NA,NA,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,0,NA,2,603.915,NA,NA,NA,NA,NA,NA,NA,NA,"D","","H","E","","W","",0,2,262,22
"7",1,NA,1,NA,"  7D",7,110,0,20,14,20,19,13,11,-34,178,12,NA,178,2,NA,NA,NA,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,2,NA,0,NA,2,45.291,NA,NA,NA,NA,NA,NA,NA,NA,"Y","","D","E","","W","",1,1,334,22
"8",1,NA,0,174,"  7D",7,78,0,0,0,1,4,11,29,88,178,6,NA,178,1,NA,NA,NA,0,0,1,NA,"B","",NA,NA,NA,NA,2,NA,1,NA,NA,1,NA,170,NA,2,45.291,NA,NA,NA,NA,NA,NA,NA,NA,"Z","","D","E","","W","",1,2,357,22
"9",1,NA,0,170,"  8E",8,143,0,3,17,28,31,26,24,26,184,12,NA,184,4,NA,NA,NA,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,2,NA,0,NA,2,83.018,NA,NA,NA,NA,NA,NA,NA,NA,"D","","E","E","","W","",1,1,343,22
"10",1,2,0,157,"  8E",8,137,0,40,49,32,31,42,38,-4,172,46,12,172,2,1,NA,NA,0,0,1,NA,"B","F",NA,NA,NA,NA,1,NA,1,NA,NA,1,3,180,0,2,83.018,6,7,5,5,3,3,-21,164,"D","Y","E","E","L","W","W",1,2,320,22
"11",1,NA,0,151,"  9H",9,12,0,0,1,0,0,0,0,75,162,12,NA,162,6,NA,NA,NA,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,45,NA,0,NA,2,567.705,NA,NA,NA,NA,NA,NA,NA,NA,"R","","H","E","","E","",1,1,269,22
"12",1,NA,0,148," 10E",10,250,0,0,0,2,5,2,0,42,310,11,NA,998,1,NA,NA,NA,0,0,1,NA,"L","",NA,NA,NA,NA,1,NA,1,NA,NA,2,NA,320,NA,2,200.995,NA,NA,NA,NA,NA,NA,NA,NA,"Y","","E","E","","W","",1,1,267,22
"13",1,NA,0,154," 10E",10,119,0,0,2,14,18,13,6,20,158,1,NA,158,1,NA,NA,NA,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,20,NA,2,200.995,NA,NA,NA,NA,NA,NA,NA,NA,"D","","E","E","","W","",1,2,267,22
"14",2,1,0,153," 11F",11,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,12,998,3,1,NA,NA,0,0,1,NA,"L","F",NA,NA,NA,NA,1,NA,1,NA,NA,31,44,998,0,2,547.914,10,3,7,7,3,6,0,144,"D","D","F","A","E","O","W",1,1,265,22
"15",1,3,0,147," 12H",12,143,1,3,3,2,1,2,0,0,146,12,12,146,1,2,NA,NA,0,0,1,NA,"F","F",NA,NA,NA,NA,1,NA,1,NA,NA,60,41,0,0,2,1374.47,NA,NA,NA,NA,NA,NA,NA,NA,"D","R","H","L","E","W","S",1,1,260,22
"16",1,NA,0,146," 13G",13,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,998,NA,NA,NA,NA,0,0,NA,NA,"9","",NA,NA,NA,NA,1,NA,NA,NA,NA,61,NA,NA,NA,2,85.075,NA,NA,NA,NA,NA,NA,NA,NA,"9","","G","9","","9","",NA,1,247,22
"17",1,NA,0,153," 14G",14,98,0,0,0,0,0,0,1,36,154,12,NA,154,1,NA,NA,NA,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,68,NA,10,NA,2,85.075,NA,NA,NA,NA,NA,NA,NA,NA,"Z","","G","L","","W","",1,1,263,22
"18",2,1,0,147," 15H",15,110,0,NA,NA,NA,NA,NA,NA,NA,NA,0,12,998,2,1,NA,NA,0,0,1,NA,"T","F",NA,NA,NA,NA,1,NA,1,NA,NA,31,46,998,350,2,157.87,2,2,1,1,2,2,-30,152,"D","Y","H","D","E","O","N",1,1,320,22
"19",1,NA,0,147," 16H",16,145,0,0,1,9,13,1,0,0,150,12,NA,150,1,NA,NA,NA,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,2,NA,0,NA,2,157.87,NA,NA,NA,NA,NA,NA,NA,NA,"D","","H","E","","W","",1,1,258,22
"20",1,NA,0,173," 16H",16,155,0,2,5,2,2,4,0,4,178,6,NA,178,1,NA,NA,NA,0,0,1,NA,"B","",NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,180,NA,2,157.87,NA,NA,NA,NA,NA,NA,NA,NA,"D","","H","L","","W","",0,2,357,22
"21",1,NA,0,167," 17F",17,99,0,29,25,25,17,1,0,-20,162,12,NA,162,2,NA,NA,NA,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,2,NA,350,NA,2,29.968,NA,NA,NA,NA,NA,NA,NA,NA,"Y","","F","E","","W","",1,1,262,22
"22",1,NA,0,149," 17F",17,98,0,0,5,12,29,27,28,148,113,1,NA,998,3,NA,NA,NA,0,0,1,NA,"R","",NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,40,NA,2,29.968,NA,NA,NA,NA,NA,NA,NA,NA,"F","","F","E","","W","",1,2,283,22
"23",1,NA,0,167," 18G",18,55,0,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,176,1,NA,NA,NA,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,2,NA,10,NA,2,27.008,NA,NA,NA,NA,NA,NA,NA,NA,"L","","G","E","","W","",0,1,364,22
"24",2,1,0,162," 18G",18,124,0,NA,NA,NA,NA,NA,NA,NA,NA,0,10,998,3,1,NA,NA,0,0,1,NA,"T","L",NA,NA,NA,NA,1,NA,1,NA,NA,31,1,998,300,2,27.008,4,7,7,3,1,0,-200,96,"D","B","G","D","E","O","W",1,2,303,22
"25",1,2,0,152," 19H",19,144,0,1,1,1,2,3,5,0,144,12,12,144,1,1,NA,NA,0,0,1,NA,"F","R",NA,NA,NA,NA,1,NA,1,NA,NA,44,44,10,10,2,25.059,0,1,6,8,0,0,166,110,"D","F","H","L","E","W","S",0,1,262,22
"26",1,NA,0,141," 20H",20,137,0,10,15,16,14,8,1,0,140,12,NA,140,1,NA,NA,NA,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,2,NA,0,NA,2,25.059,NA,NA,NA,NA,NA,NA,NA,NA,"D","","H","E","","W","",1,1,240,22
"27",1,2,0,146," 21D",21,109,0,0,10,22,31,31,28,149,123,3,4,998,3,2,NA,NA,0,0,1,NA,"R","R",NA,NA,NA,NA,1,NA,1,NA,NA,2,2,90,110,2,42.901,7,11,1,0,0,0,-175,95,"F","B","D","E","E","W","W",1,1,246,22
"28",1,2,0,146," 21D",21,65,0,37,29,30,21,4,0,-34,132,12,9,132,2,1,NA,NA,0,0,1,NA,"F","L",NA,NA,NA,NA,1,NA,1,NA,NA,1,1,350,280,2,42.901,0,6,10,6,4,0,-160,65,"Y","B","D","E","E","W","W",1,2,252,22
"29",3,2,0,158," 22F",22,33,1,11,13,25,12,3,3,-33,146,12,12,146,2,2,NA,NA,0,0,1,NA,"F","R",NA,NA,NA,NA,1,NA,1,NA,NA,42,42,0,10,2,429.441,1,11,15,11,8,0,-33,226,"C","P","F","E","A","N","S",1,1,276,22
"30",1,2,0,158," 24K",24,48,0,0,14,29,30,25,21,16,140,1,0,140,2,2,NA,NA,0,0,1,NA,"F","L",NA,NA,NA,NA,1,NA,1,NA,NA,2,31,30,998,2,24.948,NA,NA,NA,NA,NA,NA,NA,NA,"Y","D","K","E","A","W","O",1,1,258,22
"31",1,NA,0,138," 24K",24,121,0,22,26,34,29,10,5,-13,151,12,NA,151,2,NA,NA,NA,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,0,NA,2,24.948,NA,NA,NA,NA,NA,NA,NA,NA,"D","","K","E","","W","",1,2,275,22
"32",1,3,0,148," 25D",25,32,1,0,4,16,30,0,0,173,133,3,3,998,3,2,NA,NA,0,0,1,NA,"R","R",NA,NA,NA,NA,1,NA,1,NA,NA,42,42,80,80,2,52.568,5,14,5,1,0,0,-207,191,"F","B","D","E","E","N","W",1,1,320,22
"33",1,3,0,150," 28K",28,33,1,67,75,82,105,130,134,50,140,12,0,140,7,3,NA,NA,0,0,1,NA,"F","T",NA,NA,NA,NA,1,NA,1,NA,NA,42,31,0,998,2,52.867,NA,NA,NA,NA,NA,NA,NA,NA,"R","D","K","A","D","E","O",1,1,251,22
