"","ACCSEQ1","ACCSEQ2","ALTVEH","ORIGAVTW","CASEID","CASENO","DIRDAMW","DOCCDC","DVC1","DVC2","DVC3","DVC4","DVC5","DVC6","DVD","DVL","DOF1","DOF2","UNDENDW","EXTENT1","EXTENT2","FUELCAP1","FUELCAP2","FUELPRE1","FUELPRE2","FIRE","FIREORIG","FUELDAM1","FUELDAM2","GAD1","GAD2","FUELLOC1","FUELLOC2","FUELTNK1","FUELTNK2","FUELTYP1","FUELTYP2","FUELEAK1","FUELEAK2","FUELGT2","OBJCONT1","OBJCONT2","PDOF1","PDOF2","PSU","RATWGT","SDVC1","SDVC2","SDVC3","SDVC4","SDVC5","SDVC6","SDVD","SDVL","SHL1","SHL2","STRATIF","SVL1","SVL2","TDD1","TDD2","VEHNO","WHEELBAS","VERSION"
"1",1,NA,0,170,"  1H",1,61,0,0,28,43,46,11,0,-7,171,12,NA,171,3,NA,NA,NA,NA,0,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,42,NA,0,NA,2,282.755,NA,NA,NA,NA,NA,NA,NA,NA,"Y","","H","E","","W","",1,315,26
"2",1,NA,0,148,"  2F",2,50,0,0,0,3,8,16,29,42,146,5,NA,146,2,NA,NA,NA,NA,0,0,0,1,NA,"B","",NA,NA,NA,NA,1,NA,1,NA,NA,2,NA,150,NA,2,238.166,NA,NA,NA,NA,NA,NA,NA,NA,"Z","","F","A","","W","",1,262,26
"3",1,NA,0,157,"  3G",3,95,0,3,1,0,0,0,3,38,160,12,NA,160,1,NA,NA,NA,NA,0,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,76,NA,0,NA,2,237.38,NA,NA,NA,NA,NA,NA,NA,NA,"Z","","G","E","","W","",1,275,26
"4",1,NA,0,158,"  5E",5,71,0,34,39,40,31,12,6,-19,170,12,NA,170,2,NA,NA,NA,NA,0,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,42,NA,10,NA,2,82.47,NA,NA,NA,NA,NA,NA,NA,NA,"Y","","E","E","","W","",1,286,26
"5",1,NA,0,158,"  7H",7,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,998,NA,NA,NA,NA,NA,0,0,0,NA,NA,"9","",NA,NA,NA,NA,17,NA,NA,NA,NA,2,NA,NA,NA,2,782.728,NA,NA,NA,NA,NA,NA,NA,NA,"9","","H","9","","9","",1,281,26
"6",2,1,0,157,"  9G",9,30,0,0,3,10,21,11,0,13,158,12,12,158,1,8,NA,NA,NA,0,0,0,1,NA,"F","F",NA,NA,NA,NA,1,NA,1,NA,NA,42,2,350,0,2,789.967,0,3,10,21,11,0,-69,158,"C","L","G","E","E","N","S",1,275,26
"7",1,NA,0,146,"  9G",9,249,0,0,0,0,1,2,0,51,249,12,NA,998,2,NA,NA,NA,NA,0,0,0,1,NA,"L","",NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,350,NA,2,789.967,NA,NA,NA,NA,NA,NA,NA,NA,"Y","","G","E","","W","",2,252,26
"8",1,NA,0,159," 10K",10,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,2,NA,0,NA,2,56.023,NA,NA,NA,NA,NA,NA,NA,NA,"Y","","K","E","","W","",1,305,26
"9",1,NA,0,149," 10K",10,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,0,NA,2,56.023,NA,NA,NA,NA,NA,NA,NA,NA,"Y","","K","E","","W","",2,261,26
"10",1,NA,0,150," 11F",11,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,998,NA,NA,NA,NA,NA,0,0,0,NA,NA,"9","",NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,2,344.576,NA,NA,NA,NA,NA,NA,NA,NA,"9","","F","9","","9","",2,270,26
"11",1,NA,0,148," 13F",13,43,0,0,0,0,0,0,3,59,148,12,NA,148,1,NA,NA,NA,NA,0,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,48,NA,10,NA,2,324.193,NA,NA,NA,NA,NA,NA,NA,NA,"R","","F","E","","W","",1,257,26
