"","ACCSEQ1","ACCSEQ2","ALTVEH","ORIGAVTW","CASEID","CASENO","DIRDAMW","DOCCDC","DVC1","DVC2","DVC3","DVC4","DVC5","DVC6","DVD","DVL","DOF1","DOF2","UNDENDW","EXTENT1","EXTENT2","FUELCAP1","FUELCAP2","FUELPRE1","FUELPRE2","FIRE","FIREORIG","FUELDAM1","FUELDAM2","GAD1","GAD2","FUELLOC1","FUELLOC2","FUELTNK1","FUELTNK2","FUELTYP1","FUELTYP2","FUELEAK1","FUELEAK2","FUELGT2","OBJCONT1","OBJCONT2","PDOF1","PDOF2","PSU","RATWGT","SDVC1","SDVC2","SDVC3","SDVC4","SDVC5","SDVC6","SDVD","SDVL","SHL1","SHL2","STRATIF","SVL1","SVL2","TDD1","TDD2","VEHNO","WHEELBAS","VERSION"
"1",1,NA,0,158,"  1H",1,118,0,3,1,4,3,1,3,15,160,1,NA,160,1,NA,NA,NA,NA,0,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,48,NA,20,NA,2,3260.571,NA,NA,NA,NA,NA,NA,NA,NA,"D","","H","M","","W","",1,276,27
"2",2,1,0,154,"  2H",2,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,6,NA,NA,NA,NA,NA,NA,0,0,0,1,NA,"B","B",NA,NA,NA,NA,1,NA,1,NA,NA,60,45,998,180,2,5332.705,NA,NA,NA,NA,NA,NA,NA,NA,"9","9","H","9","9","9","N",1,272,27
"3",1,NA,0,148,"  3D",3,33,0,0,22,34,20,12,0,-20,155,1,NA,998,3,NA,NA,NA,NA,0,0,0,1,NA,"R","",NA,NA,NA,NA,17,NA,1,NA,NA,51,NA,30,NA,2,103.566,NA,NA,NA,NA,NA,NA,NA,NA,"P","","D","A","","N","",1,320,27
"4",1,NA,0,151,"  4F",4,39,0,29,14,12,8,6,4,-51,156,12,NA,156,6,NA,NA,NA,NA,0,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,2,NA,10,NA,2,2246.833,NA,NA,NA,NA,NA,NA,NA,NA,"L","","F","A","","E","",1,265,27
"5",1,NA,0,148,"  4F",4,37,0,22,0,0,0,0,0,-62,164,12,NA,164,6,NA,NA,NA,NA,0,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,0,NA,2,2246.833,NA,NA,NA,NA,NA,NA,NA,NA,"L","","F","E","","E","",2,237,27
"6",1,NA,0,NA,"  5B",5,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,998,3,NA,NA,NA,NA,0,0,0,NA,NA,"L","",NA,NA,NA,NA,1,NA,NA,NA,NA,42,NA,310,NA,2,49.388,NA,NA,NA,NA,NA,NA,NA,NA,"P","","B","A","","W","",1,282,27
"7",1,NA,0,150,"  6K",6,154,0,0,10,34,34,5,0,1,321,10,NA,998,3,NA,NA,NA,NA,0,0,0,1,NA,"L","",NA,NA,NA,NA,1,NA,1,NA,NA,2,NA,300,NA,2,39.606,NA,NA,NA,NA,NA,NA,NA,NA,"P","","K","E","","W","",1,266,27
"8",1,NA,0,169,"  6K",6,141,0,32,25,19,17,14,3,0,168,1,NA,168,2,NA,NA,NA,NA,0,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,20,NA,2,39.606,NA,NA,NA,NA,NA,NA,NA,NA,"D","","K","E","","W","",2,300,27
"9",2,1,0,147,"  7K",7,66,0,28,36,35,24,14,6,-29,156,1,12,156,2,NA,NA,NA,NA,0,0,0,1,NA,"F","F",NA,NA,NA,NA,1,NA,1,NA,NA,2,50,20,0,2,26.951,NA,NA,NA,NA,NA,NA,NA,NA,"Y","9","K","E","E","W","N",1,262,27
"10",2,NA,0,171,"  7K",7,250,0,0,12,11,11,3,0,-9,279,11,NA,998,1,NA,NA,NA,NA,0,0,0,1,NA,"L","",NA,NA,NA,NA,17,NA,1,NA,NA,1,NA,340,NA,2,26.951,NA,NA,NA,NA,NA,NA,NA,NA,"P","","K","E","","W","",2,295,27
"11",1,NA,0,155,"  8G",8,35,0,0,1,4,4,1,0,-65,160,12,NA,160,1,NA,NA,NA,NA,0,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,76,NA,350,NA,2,2209.142,NA,NA,NA,NA,NA,NA,NA,NA,"L","","G","E","","E","",1,262,27
"12",1,NA,0,174,"  9H",9,118,0,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,176,1,NA,NA,NA,NA,0,0,0,NA,NA,"B","",NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,180,NA,2,26630.64,NA,NA,NA,NA,NA,NA,NA,NA,"D","","H","L","","W","",2,351,27
"13",1,NA,0,155," 10B",10,40,0,45,25,19,12,6,1,-54,160,12,NA,160,9,NA,NA,NA,NA,0,0,0,1,NA,"F","",NA,NA,NA,NA,1,NA,1,NA,NA,2,NA,0,NA,2,72.337,NA,NA,NA,NA,NA,NA,NA,NA,"L","","B","A","","E","",1,293,27
"14",1,2,0,151," 10B",10,40,0,38,10,5,2,1,0,-45,156,12,0,156,8,3,NA,NA,NA,0,0,0,1,NA,"F","T",NA,NA,NA,NA,1,NA,1,NA,NA,1,31,0,998,2,72.337,NA,NA,NA,NA,NA,NA,NA,NA,"L","F","B","A","D","E","O",2,279,27
"15",1,NA,0,156," 11E",11,92,0,0,4,6,34,34,25,173,126,11,NA,998,3,NA,NA,NA,NA,0,0,0,1,NA,"L","",NA,NA,NA,NA,1,NA,1,NA,NA,2,NA,320,NA,2,76.097,NA,NA,NA,NA,NA,NA,NA,NA,"F","","E","E","","W","",1,273,27
