"","VERSION","TEXT71","PSU","CASENO","STRATIF","LINENO","CASEID"
"1",27,"Vehicle one was traveling south on the trafficway. V1 exited the roadway to the",2,1,"H",1,"  1H"
"2",27,"right to avoid an unknown vehicle. Catching the edge of the asphalt, it",2,1,"H",2,"  1H"
"3",27,"initiated a counterclockwise yaw as it re-entered the trafficway. V1 crossed",2,1,"H",3,"  1H"
"4",27,"both lanes and its front end made contact with a guardrail before continuing",2,1,"H",4,"  1H"
"5",27,"south and coming to final rest in a snow bank.",2,1,"H",5,"  1H"
"6",27,"Vehicle 1 was traveling west on the trafficway. It initiated a counterclockwise",2,2,"H",1,"  2H"
"7",27,"yaw and rotated approximately 180 degrees before exiting the trafficway to the",2,2,"H",2,"  2H"
"8",27,"right, striking a curve delineator sign and a ditch with its back end, where it",2,2,"H",3,"  2H"
"9",27,"then came to final rest.",2,2,"H",4,"  2H"
"10",27,"Vehicle 1 was traveling south on the trafficway. Driver 1 steered left to avoid",2,3,"D",1,"  3D"
"11",27,"an approaching deer. V1 initiated a counterclockwise yaw and departed the",2,3,"D",2,"  3D"
"12",27,"roadway to the right, striking a utility pole on its right side.",2,3,"D",3,"  3D"
"13",27,"Vehicle 1 was traveling west on the trafficway. Vehicle 2 was traveling east on",2,4,"F",1,"  4F"
"14",27,"the same trafficway. V1 exited its lane of travel to the left. V1's front",2,4,"F",2,"  4F"
"15",27,"contacted the front of V2. Both vehicles came to rest in the trafficway.",2,4,"F",3,"  4F"
"16",27,"Vehicle 1 was traveling west on the trafficway. It initiated a counterclockwise",2,5,"B",1,"  5B"
"17",27,"yaw on the turn, corrected to the right, and then began a clockwise yaw. V1",2,5,"B",2,"  5B"
"18",27,"exited the roadway to the right, where it struck a tree on its left side and",2,5,"B",3,"  5B"
"19",27,"came to rest.",2,5,"B",4,"  5B"
"20",27,"Vehicle 2 was traveling south on the trafficway. Vehicle 1 was traveling west",2,6,"K",1,"  6K"
"21",27,"through an adjacent parking lot. The left side of V1 was contacted by the front",2,6,"K",2,"  6K"
"22",27,"of V2 in the middle of the junction. Both vehicles came to rest in the",2,6,"K",3,"  6K"
"23",27,"trafficway.",2,6,"K",4,"  6K"
"24",27,"Vehicle 1 was traveling west on the trafficway and Vehicle 2 was traveling east",2,7,"K",1,"  7K"
"25",27,"on the same trafficway. V1 departed its lane to the left, entered the grassy",2,7,"K",2,"  7K"
"26",27,"median, struck a sign, and then crossed two more lanes. V1's front end struck V2",2,7,"K",3,"  7K"
"27",27,"on the left. Both vehicles came to rest in the eastbound trafficway.",2,7,"K",4,"  7K"
"28",27,"Vehicle 1 was traveling south on the trafficway when a deer ran into the path of",2,8,"G",1,"  8G"
"29",27,"V1 from the left. The front of V1 contacted the deer, which then ran away. V1",2,8,"G",2,"  8G"
"30",27,"came to a stop in the trafficway.",2,8,"G",3,"  8G"
"31",27,"Vehicles 1 and 2 were both traveling east on the trafficway. V1 was stopped in",2,9,"H",1,"  9H"
"32",27,"traffic. The front of V2 contacted the back of V1. Both vehicles cames to rest",2,9,"H",2,"  9H"
"33",27,"in the trafficway.",2,9,"H",3,"  9H"
"34",27,"V1 was traveling northbound on the far left lane of a two-way roadway with two",3,1,"F",1,"  1F"
"35",27,"lanes in each direction.  V2 was traveling southbound on the far left lane of",3,1,"F",2,"  1F"
"36",27,"the same roadway.  V2 swerved to avoid a non-contact vehicle, when the front",3,1,"F",3,"  1F"
"37",27,"plane of V1 impacted the front plane of V2.",3,1,"F",4,"  1F"
"38",27,"V1 was traveling eastbound on a one-way roadway with one lane of travel.  V2 was",3,2,"E",1,"  2E"
"39",27,"traveling northbound on a two-way roadway with one lane in each direction.  At",3,2,"E",2,"  2E"
"40",27,"the intersection, the front plane of V2 impacted the right plane of V1.",3,2,"E",3,"  2E"
"41",27,"V1 was traveling northbound in the right lane of the main road of a physically",3,3,"F",1,"  3F"
"42",27,"divided roadway with three lanes of travel on the main road and a single service",3,3,"F",2,"  3F"
"43",27,"lane in each direction.  V1 travelled from the main road to the service lane",3,3,"F",3,"  3F"
"44",27,"heading northbound.  On the service lane, V1 lost control and impacted a tree",3,3,"F",4,"  3F"
"45",27,"located on the center divider with its frontal plane.",3,3,"F",5,"  3F"
"46",27,"V1 was traveling southbound in the right lane of a two way divided roadway with",3,4,"H",1,"  4H"
"47",27,"two lanes of travel and a left turn lane in each direction.  V2 was also",3,4,"H",2,"  4H"
"48",27,"traveling on the same roadway in the right lane behind V1.  On this roadway, the",3,4,"H",3,"  4H"
"49",27,"frontal plane of V2 impacted the rear plane of V1.",3,4,"H",4,"  4H"
"50",27,"V1 was traveling eastbound on a two way roadway with a single lane of travel in",3,5,"D",1,"  5D"
"51",27,"each direction.  V2 was traveling southbound on a one way roadway with a single",3,5,"D",2,"  5D"
"52",27,"lane of travel.  At the intersection of the above roadways, the frontal plane of",3,5,"D",3,"  5D"
"53",27,"V1 impacted the right side plane of V2.  This caused V2 to roll two quarter",3,5,"D",4,"  5D"
"54",27,"turns to the left side on its longitudinal axis and come to final rest on its",3,5,"D",5,"  5D"
"55",27,"top plane.",3,5,"D",6,"  5D"
"56",27,"V1 was traveling northbound on a two-way roadway with two lanes in each",3,6,"F",1,"  6F"
"57",27,"direction.  V2 was traveling westbound on a one-way roadway with one lane of",3,6,"F",2,"  6F"
"58",27,"travel.  V2 attempted to make a right turn at the intersection, when the front",3,6,"F",3,"  6F"
"59",27,"plane of V2 impacted the right plane of V1.",3,6,"F",4,"  6F"
"60",27,"V1 was traveling northbound on a two-way roadway with a two-way left turning",3,7,"G",1,"  7G"
"61",27,"lane, three lanes in each direction, and a divided service lane.  V2 was",3,7,"G",2,"  7G"
"62",27,"traveling northbound on the same roadway behind V1.  The front plane of V2",3,7,"G",3,"  7G"
"63",27,"impacted the back plane of V2.",3,7,"G",4,"  7G"
"64",27,"V1 was traveling eastbound on a two way roadway with a single lane of travel in",3,8,"E",1,"  8E"
"65",27,"each direction.  V2 was traveling southbound in the left lane of a one way",3,8,"E",2,"  8E"
